task,substrate,readout,env,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_mean,post_swap_mean,steady_acc,n_flips,v_final
drift_binary,random_graph_k25,rmhl_oracle,A,3,256,40000,5.3230650424957275,0.536685007914374,0.645,0.35166666666666674,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,6,256,40000,5.633376836776733,0.5019022135122233,0.6433333333333334,0.3516666666666666,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,7,256,40000,4.570621967315674,0.504753272530841,0.6483333333333333,0.3499999999999999,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,0,256,40000,6.399601697921753,0.49851649456043823,0.6483333333333333,0.3533333333333333,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,1,256,40000,5.114224195480347,0.5141078113615235,0.65,0.3566666666666667,,0,nan
drift_binary,random_graph_k25,passive_fixed,A,2,256,40000,6.206831693649292,0.8903535087058112,0.9466666666666667,0.9483333333333333,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,3,256,40000,5.250377655029297,0.8840632144920983,0.9366666666666666,0.935,,3,nan
drift_binary,random_graph_k25,rmhl_oracle,A,8,256,40000,6.31506085395813,0.506090927363634,0.6433333333333334,0.35500000000000004,,0,nan
drift_binary,random_graph_k25,rmhl_oracle,A,9,256,40000,5.3683881759643555,0.5026771940403507,0.6466666666666666,0.35833333333333334,,0,nan
drift_binary,random_graph_k25,passive_fixed,A,4,256,40000,4.688184976577759,0.8841912263510969,0.935,0.9466666666666667,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,5,256,40000,4.4914774894714355,0.8849566593804175,0.9316666666666668,0.9366666666666666,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,0,256,40000,6.218980073928833,0.8897928444008946,0.945,0.9466666666666667,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,1,256,40000,6.307438850402832,0.886460264817467,0.9416666666666668,0.94,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,6,256,40000,4.802268743515015,0.8854101655737294,0.94,0.945,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,7,256,40000,4.55209755897522,0.8915274741840656,0.945,0.9466666666666667,,3,nan
drift_binary,random_graph_k25,meta_self,A,2,256,40000,5.017144203186035,0.8890470088691237,0.9466666666666667,0.9483333333333333,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,3,256,40000,5.328113555908203,0.8827567146554108,0.9366666666666666,0.935,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,0,256,40000,4.854024648666382,0.8886370945453633,0.945,0.9466666666666667,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,1,256,40000,6.133135080337524,0.8852040149744983,0.9416666666666668,0.94,,3,0.503762146542918
drift_binary,random_graph_k25,passive_fixed,A,8,256,40000,5.59526515007019,0.8835940051757494,0.94,0.9316666666666668,,3,nan
drift_binary,random_graph_k25,passive_fixed,A,9,256,40000,5.97577977180481,0.8817475691565538,0.9333333333333335,0.9283333333333333,,3,nan
drift_binary,random_graph_k25,meta_self,A,4,256,40000,5.340901136398315,0.8831359764830031,0.935,0.9466666666666667,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,5,256,40000,6.341234445571899,0.8837004095374487,0.9316666666666668,0.9366666666666666,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,6,256,40000,5.628832817077637,0.8840534157433232,0.94,0.945,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,7,256,40000,6.080449104309082,0.8901707243536594,0.945,0.9466666666666667,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,8,256,40000,6.170236110687256,0.8820865053641869,0.94,0.9316666666666668,,3,0.503762146542918
drift_binary,random_graph_k25,meta_self,A,9,256,40000,5.041147470474243,0.88029031933871,0.9333333333333335,0.9283333333333333,,3,0.503762146542918
