arm,seed,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forget_floor_frac,oracle_ppl,softmax_lr,runtime_s
B-noise-softmax,5,noise,softmax_sgd,10.261581417753694,0.0,0.0,0.0,9.085357157530444,0.0,10.781315396737963,0.05,46.46899151802063
B-noise-softmax,6,noise,softmax_sgd,10.331055249146061,0.0,0.0,0.0,10.155998887499901,0.0,10.883573845818255,0.05,48.62601637840271
B-noise-softmax,7,noise,softmax_sgd,10.283519538615284,0.0,0.0,0.0,9.312002271358093,0.0,10.562211121095471,0.05,42.12922215461731
B-noise-softmax,8,noise,softmax_sgd,10.305240622795676,0.0,0.0,0.0,10.301605230396722,0.0,10.95974374595259,0.05,47.58326745033264
B-noise-softmax,9,noise,softmax_sgd,10.269567429205384,0.0,0.0,0.0,9.471640592656769,0.0,10.848966746725328,0.05,49.88635039329529
B-simplex,0,proj,simplex,11.886228284002984,0.0,0.015556419801100061,0.0,7.884540620249179,0.0004008016032064128,7.344013092223381,nan,33.421242237091064
B-simplex,1,proj,simplex,11.662170939638315,0.0,0.01600088893827435,0.0,8.738544348167576,0.002404809619238477,7.152388668797903,nan,35.96288704872131
B-simplex,2,proj,simplex,11.616690982172049,0.0,0.015500861158953275,0.0,8.506088617408306,0.0012024048096192384,7.185695874900826,nan,26.465219020843506
B-simplex,3,proj,simplex,11.94278984063211,0.0,0.015778654369687204,0.0,8.455311095857258,0.0012024048096192384,7.361639746876128,nan,34.085766315460205
B-simplex,4,proj,simplex,11.877114069069199,0.0,0.016056447580421136,0.0,8.021218165337697,0.0,7.2545617397491755,nan,41.160579204559326
B-simplex,5,proj,simplex,11.880466581159652,0.0,0.01677870992832935,0.0,7.93216316851925,0.0004008016032064128,7.186052996483156,nan,25.214491844177246
B-simplex,6,proj,simplex,11.754824285047603,0.0,0.015389743874659703,0.0,8.584201035087109,0.0004008016032064128,7.290880561240637,nan,48.836636781692505
B-simplex,7,proj,simplex,11.548485482883628,0.0,0.015389743874659703,0.0,8.118340545257098,0.0008016032064128256,7.182753544109646,nan,34.10218095779419
B-simplex,8,proj,simplex,11.792750305632971,0.0,0.01572309572754042,0.0,9.191894820818039,0.0008016032064128256,7.258389212524579,nan,34.70243501663208
B-simplex,9,proj,simplex,11.863617765524793,0.0,0.01600088893827435,0.0,8.436136259153969,0.0008016032064128256,7.261724518487203,nan,40.807857275009155
B-softmax-sgd,0,proj,softmax_sgd,8.752514555332136,0.0,0.0,0.0,8.404154013506803,0.0,7.344013092223381,0.05,21.0463924407959
B-softmax-sgd,1,proj,softmax_sgd,8.47493320102483,0.0,0.0,0.0,8.859163714933507,0.0,7.152388668797903,0.05,18.927623510360718
B-softmax-sgd,2,proj,softmax_sgd,8.592802646699006,0.0,0.0,0.0,8.881384997785005,0.0,7.185695874900826,0.05,19.7835910320282
B-softmax-sgd,3,proj,softmax_sgd,8.76620100525086,0.0,0.0,0.0,8.902327074634005,0.0,7.361639746876128,0.05,26.75345492362976
B-softmax-sgd,4,proj,softmax_sgd,8.576693523192654,0.0,0.0,0.0,8.691387152160836,0.0,7.2545617397491755,0.05,23.08615779876709
B-softmax-sgd,5,proj,softmax_sgd,8.618399749088358,0.0,0.0,0.0,8.471259441655686,0.0,7.186052996483156,0.05,14.385415077209473
B-softmax-sgd,6,proj,softmax_sgd,8.735415393989804,0.0,0.0,0.0,9.368754904507735,0.0,7.290880561240637,0.05,14.809625148773193
B-softmax-sgd,7,proj,softmax_sgd,8.604345575245915,0.0,0.0,0.0,8.704965943273482,0.0,7.182753544109646,0.05,14.40063762664795
B-softmax-sgd,8,proj,softmax_sgd,8.694733455281384,0.0,0.0,0.0,9.713668103800766,0.0,7.258389212524579,0.05,20.29498314857483
B-softmax-sgd,9,proj,softmax_sgd,8.66734238227523,0.0,0.0,0.0,8.907933171829704,0.0,7.261724518487203,0.05,16.232203722000122
Skip-lin-clip,0,skip,lin_clip,59.62412446315999,0.10333907439302184,0.0,0.10333907439302184,57.23259720095795,0.10220440881763528,18.393934518516684,nan,138.27099227905273
Skip-lin-clip,1,skip,lin_clip,52.673285812321204,0.09928329351630646,0.0,0.09928329351630646,87.86911243105578,0.11983967935871744,16.60234725431496,nan,130.65971994400024
Skip-lin-clip,2,skip,lin_clip,61.27416460579942,0.10395021945663648,0.0,0.10395021945663648,116.73220727936355,0.12865731462925853,18.015852107902642,nan,147.24153685569763
Skip-lin-clip,3,skip,lin_clip,65.20477019102093,0.10650591699538864,0.0,0.10650591699538864,74.97873742952095,0.11342685370741483,16.971650291100644,nan,132.4134020805359
Skip-lin-clip,4,skip,lin_clip,61.20748516432601,0.10406133674093006,0.0,0.10406133674093006,81.83674623798571,0.11663326653306613,19.89067917399873,nan,142.89522290229797
Skip-lin-clip,5,skip,lin_clip,58.433873297237206,0.10245013611867326,0.0,0.10245013611867326,58.53350774797227,0.10180360721442885,18.18327309633475,nan,143.1158308982849
Skip-lin-clip,6,skip,lin_clip,52.8396746866591,0.0983387965998111,0.0,0.0983387965998111,97.59552751548149,0.1218436873747495,17.694797506321542,nan,130.32944345474243
Skip-lin-clip,7,skip,lin_clip,56.19117612281738,0.10050558364353575,0.0,0.10050558364353575,74.88010479636641,0.11302605210420842,18.332448013928413,nan,143.4527153968811
Skip-lin-clip,8,skip,lin_clip,58.54217477225829,0.1023390188343797,0.0,0.1023390188343797,149.87134286415886,0.12905811623246494,18.072336530031816,nan,138.30993747711182
Skip-lin-clip,9,skip,lin_clip,58.66380143876034,0.10211678426579254,0.0,0.10211678426579254,141.03610405337832,0.1342685370741483,18.283018611096526,nan,140.857524394989
Skip-simplex,0,skip,simplex,77.47027947682673,0.0,0.10333907439302184,0.0,80.00034724802036,0.10220440881763528,18.393934518516684,nan,164.37639784812927
Skip-simplex,1,skip,simplex,68.26468086774906,0.0,0.09928329351630646,0.0,126.23964799591056,0.11983967935871744,16.60234725431496,nan,149.66897749900818
Skip-simplex,2,skip,simplex,79.12122801861005,0.0,0.10395021945663648,0.0,187.34957900907827,0.12865731462925853,18.015852107902642,nan,150.71758365631104
Skip-simplex,3,skip,simplex,83.7710899677632,0.0,0.10650591699538864,0.0,110.51898860203221,0.11342685370741483,16.971650291100644,nan,156.26371145248413
Skip-simplex,4,skip,simplex,79.58726432794789,0.0,0.10406133674093006,0.0,121.27651180501428,0.11663326653306613,19.89067917399873,nan,140.97527360916138
Skip-simplex,5,skip,simplex,75.79674043845837,0.0,0.10245013611867326,0.0,84.41874992558022,0.10180360721442885,18.18327309633475,nan,153.10859370231628
Skip-simplex,6,skip,simplex,68.4525632023642,0.0,0.0983387965998111,0.0,139.08751640629538,0.1218436873747495,17.694797506321542,nan,89.64601039886475
Skip-simplex,7,skip,simplex,72.82914560248892,0.0,0.10050558364353575,0.0,113.59769662291087,0.11302605210420842,18.332448013928413,nan,87.10001492500305
Skip-simplex,8,skip,simplex,75.94695146599756,0.0,0.1023390188343797,0.0,229.64627167160447,0.12905811623246494,18.072336530031816,nan,86.46458148956299
Skip-simplex,9,skip,simplex,76.11992427847942,0.0,0.10211678426579254,0.0,210.2077383193178,0.1342685370741483,18.283018611096526,nan,84.39592576026917
Skip-softmax-sgd,0,skip,softmax_sgd,8.495886383075046,0.0,0.0,0.0,38.16419959991252,0.0,18.393934518516684,0.05,23.438567399978638
Skip-softmax-sgd,1,skip,softmax_sgd,7.983079450078918,0.0,0.0,0.0,22.575633980382953,0.0,16.60234725431496,0.05,30.713791608810425
Skip-softmax-sgd,2,skip,softmax_sgd,9.202042560516382,0.0,0.0,0.0,41.40160199763551,0.0,18.015852107902642,0.05,26.61996555328369
Skip-softmax-sgd,3,skip,softmax_sgd,8.38766628972468,0.0,0.0,0.0,50.386674752077724,0.0,16.971650291100644,0.05,22.004876852035522
Skip-softmax-sgd,4,skip,softmax_sgd,8.61715271355277,0.0,0.0,0.0,26.58094343383099,0.0,19.89067917399873,0.05,22.582839012145996
Skip-softmax-sgd,5,skip,softmax_sgd,8.782172057888314,0.0,0.0,0.0,39.911251934202035,0.0,18.18327309633475,0.05,28.750609636306763
Skip-softmax-sgd,6,skip,softmax_sgd,8.380620331987767,0.0,0.0,0.0,26.836678889487064,0.0,17.694797506321542,0.05,23.318424701690674
Skip-softmax-sgd,7,skip,softmax_sgd,9.048793669086642,0.0,0.0,0.0,29.094466438931885,0.0,18.332448013928413,0.05,19.08706760406494
Skip-softmax-sgd,8,skip,softmax_sgd,8.621590896587342,0.0,0.0,0.0,41.656607480739204,0.0,18.072336530031816,0.05,19.90038275718689
Skip-softmax-sgd,9,skip,softmax_sgd,8.77550319504665,0.0,0.0,0.0,260.4977600257621,0.0,18.283018611096526,0.05,17.689881801605225
Skip-sub-softmax,0,sub,softmax_sgd,8.267414861025243,0.0,0.0,0.0,10.174508769319914,0.0,27.87063221824963,0.05,48.33019280433655
Skip-sub-softmax,1,sub,softmax_sgd,7.7754053463696895,0.0,0.0,0.0,9.443578383798394,0.0,29.98340438487436,0.05,46.187620401382446
Skip-sub-softmax,2,sub,softmax_sgd,8.326256118035984,0.0,0.0,0.0,9.819976950907868,0.0,27.56564091772008,0.05,46.6034996509552
Skip-sub-softmax,3,sub,softmax_sgd,7.921039867183009,0.0,0.0,0.0,9.603371720921714,0.0,31.941399318565093,0.05,44.91842293739319
Skip-sub-softmax,4,sub,softmax_sgd,8.146911343049293,0.0,0.0,0.0,9.99624333186252,0.0,29.171199169046247,0.05,39.01948809623718
Skip-sub-softmax,5,sub,softmax_sgd,7.85518903567486,0.0,0.0,0.0,8.547006051520132,0.0,31.782089506279515,0.05,37.8955442905426
Skip-sub-softmax,6,sub,softmax_sgd,7.607521961149749,0.0,0.0,0.0,9.259451640953134,0.0,33.75536324090258,0.05,18.45019268989563
Skip-sub-softmax,7,sub,softmax_sgd,8.738462866725321,0.0,0.0,0.0,10.403112535242272,0.0,23.405193508923205,0.05,17.615477085113525
Skip-sub-softmax,8,sub,softmax_sgd,8.56596000187476,0.0,0.0,0.0,14.910011199006039,0.0,27.603990244699,0.05,14.767104387283325
Skip-sub-softmax,9,sub,softmax_sgd,8.214277581124572,0.0,0.0,0.0,20.151230655254007,0.0,31.277491050966926,0.05,12.035650968551636
