task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,gain_mean,gain_max
drift_binary,R1_full_swap,random_graph_k25,rls_online,6,256,40000,3.958047866821289,0.9969083691364538,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,7,256,40000,4.380847930908203,0.9969586191301726,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,delta_boost,0,256,40000,1.6357731819152832,0.726566543554182,0.995,0.5,0.5,4.743536817226052,9.998265088286226
drift_binary,R2_partial_shift,parallel,delta_boost,1,256,40000,1.917818546295166,0.73556367930454,0.99,0.6,0.5,4.902162064384047,9.988254409261291
drift_binary,R1_full_swap,random_graph_k25,rls_online,8,256,40000,5.309797763824463,0.99746111906736,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,9,256,40000,4.478687524795532,0.9968078691490163,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,delta_boost,2,256,40000,2.1591732501983643,0.7381660008542498,0.995,0.575,0.5,4.690428425902154,9.996099040664005
drift_binary,R2_partial_shift,parallel,delta_boost,3,256,40000,1.8145382404327393,0.7170513303685837,0.985,0.48,0.5,5.01482309134591,9.999572137416985
drift_binary,R2_partial_shift,parallel,delta_boost,6,256,40000,1.8458924293518066,0.7422589884676264,0.985,0.545,0.585,4.8337844905974405,9.996716914877357
drift_binary,R2_partial_shift,parallel,delta_boost,7,256,40000,1.6830339431762695,0.7273488103313988,0.975,0.6,0.5,4.88650908233189,9.999146011843077
drift_binary,R2_partial_shift,parallel,delta_boost,4,256,40000,1.6450421810150146,0.7365551116806109,0.99,0.5,0.6,4.7609349903413705,9.995919934440328
drift_binary,R2_partial_shift,parallel,delta_boost,5,256,40000,2.1279826164245605,0.7453368005828999,0.99,0.5,0.59,4.8206425916847495,9.999186832289617
drift_binary,R2_partial_shift,parallel,delta_boost,8,256,40000,1.7244720458984375,0.7284901133137357,1.0,0.5,0.5,4.715666967295959,9.994
drift_binary,R2_partial_shift,parallel,delta_boost,9,256,40000,1.8370442390441895,0.7269572372553453,0.99,0.415,0.5,4.8103827115326565,9.998506355509125
drift_binary,R2_partial_shift,parallel,delta_high,2,256,40000,1.9107728004455566,0.5910759779905028,0.655,0.575,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,3,256,40000,1.7134156227111816,0.5679847240019095,0.655,0.48,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,4,256,40000,1.6729190349578857,0.6028672646415919,0.635,0.5,0.6,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,5,256,40000,1.2330174446105957,0.6145109419361322,0.725,0.5,0.59,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,0,256,40000,2.029486894607544,0.578822391397201,0.72,0.5,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,1,256,40000,2.024900436401367,0.5918989472626316,0.675,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,6,256,40000,1.8275980949401855,0.5880417577447803,0.615,0.545,0.585,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,7,256,40000,1.745326042175293,0.579921735634783,0.63,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,rls_online,4,256,40000,1.3924212455749512,0.9802756212155472,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,5,256,40000,1.5956308841705322,0.9818836210145473,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,delta_high,8,256,40000,2.1261484622955322,0.5731496696062913,0.665,0.5,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_high,9,256,40000,1.9999403953552246,0.5743228813346398,0.715,0.415,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,rls_online,6,256,40000,1.7893683910369873,0.9808283711464535,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,7,256,40000,1.6270816326141357,0.9808786211401723,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,8,256,40000,1.5965583324432373,0.9833911208261098,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,9,256,40000,1.6650798320770264,0.981732871033391,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,2,256,40000,2.007859706878662,0.9847214894098139,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,3,256,40000,1.995337724685669,0.9782656214667973,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,0,256,40000,2.1992251873016357,0.9807014899123138,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,rls_online,1,256,40000,2.016669988632202,0.9808786211401723,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,0,256,40000,4.765874147415161,0.7548498781437653,1.0,0.5,0.58,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,1,256,40000,4.688504695892334,0.75684832039396,1.0,0.615,0.5225,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,2,256,40000,4.17941951751709,0.7545843069269617,1.0,0.58,0.525,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,3,256,40000,4.225562334060669,0.7376481746689781,1.0,0.515,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,8,256,40000,4.157238245010376,0.7357914374010702,1.0,0.5,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,9,256,40000,4.0297253131866455,0.7533599658300043,1.0,0.585,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,4,256,40000,4.339596748352051,0.7722099947237507,1.0,0.53,0.68,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,5,256,40000,4.707750082015991,0.7495196100600486,1.0,0.525,0.6,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,6,256,40000,4.530857563018799,0.76762103967237,1.0,0.6,0.6,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_base,7,256,40000,4.317190170288086,0.7789541720057285,1.0,0.64,0.555,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,4,256,40000,4.1711266040802,0.7421623828547022,1.0,0.5,0.6,4.753414981924608,9.995919935029296
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,5,256,40000,4.256598234176636,0.7504195874475516,1.0,0.5,0.59,4.7972170329129336,9.999232305131175
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,0,256,40000,4.729054927825928,0.7318244516469435,1.0,0.5,0.5,4.740712435857456,9.998236148030777
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,1,256,40000,4.526347637176514,0.734565463179317,1.0,0.6,0.5,4.864777900243346,9.999161015092781
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,2,256,40000,4.894636392593384,0.7412517273435341,1.0,0.575,0.5,4.657010013263062,9.996099584469512
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,3,256,40000,4.637010335922241,0.727849551518806,1.0,0.48,0.5,4.941157565918239,9.999572147338803
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,6,256,40000,4.518548250198364,0.749252280093465,1.0,0.545,0.585,4.761539635990386,9.996714067519074
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,7,256,40000,3.884885787963867,0.7357041280369839,1.0,0.6,0.5,4.841532507523468,9.999146009397938
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,8,256,40000,4.384336233139038,0.7311815029773121,1.0,0.5,0.5,4.730838931924962,9.994
drift_binary,R2_partial_shift,random_graph_k25,delta_boost,9,256,40000,3.96181058883667,0.7272866259641717,1.0,0.415,0.5,4.807345958696324,9.999027377606385
drift_binary,R2_partial_shift,random_graph_k25,delta_high,0,256,40000,4.114731788635254,0.6545046606869175,0.855,0.5,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,1,256,40000,4.284948348999023,0.6683590864551142,0.84,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,6,256,40000,3.9027411937713623,0.669480415064948,0.825,0.545,0.585,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,7,256,40000,4.339876413345337,0.6615853873018266,0.835,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,4,256,40000,4.393746376037598,0.6640738926157634,0.83,0.5,0.6,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,5,256,40000,4.177536725997925,0.6721803472274566,0.825,0.5,0.59,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,2,256,40000,4.3082616329193115,0.6669571116303611,0.84,0.575,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,3,256,40000,4.5734031200408936,0.6510173111228361,0.84,0.48,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,8,256,40000,4.417322397232056,0.6529422627572172,0.84,0.5,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,delta_high,9,256,40000,4.140127420425415,0.6539720107534986,0.855,0.415,0.5,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,0,256,40000,4.093985557556152,0.9994208688223913,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,1,256,40000,4.36603045463562,0.9994711188161101,1.0,1.0,1.0,nan,0.0
drift_binary,R3_compression,parallel,delta_base,0,256,40000,1.700470209121704,0.7834935051883118,0.99,0.6,0.6,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,1,256,40000,1.6093766689300537,0.7614173010728374,0.99,0.63,0.51,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,2,256,40000,1.6718685626983643,0.79078791990151,0.995,0.645,0.635,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,3,256,40000,1.6031711101531982,0.7458918117635236,0.99,0.515,0.575,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,4,256,40000,2.0613746643066406,0.796113288610839,0.99,0.6,0.68,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,5,256,40000,1.5692026615142822,0.8003389362076329,0.99,0.635,0.68,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,6,256,40000,1.5546448230743408,0.7700510037436245,0.985,0.65,0.5725,0.0,0.0
drift_binary,R3_compression,parallel,delta_base,7,256,40000,1.7960493564605713,0.7693880807014899,0.98,0.605,0.56,0.0,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,2,256,40000,4.530329942703247,0.9994208688223913,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,random_graph_k25,rls_online,3,256,40000,4.1573920249938965,0.9993706188286726,1.0,1.0,1.0,nan,0.0
drift_binary,R3_compression,parallel,delta_boost,0,256,40000,1.623828649520874,0.7295815431773072,0.995,0.5,0.5,4.666165620681889,9.99836360165924
drift_binary,R3_compression,parallel,delta_boost,1,256,40000,1.7067513465881348,0.7377244290344463,0.99,0.6,0.5,4.832298860052817,9.977790980989898
drift_binary,R2_partial_shift,random_graph_k25,rls_online,4,256,40000,4.377226114273071,0.9993706188286726,1.0,1.0,1.0,nan,0.0
