arm,seed,stream_ppl,neg_frac,forgetting_ppl,oracle_ppl,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
CV-skip,2,61.27526955218527,0.10395021945663648,116.73220727936355,18.015852107902642,0.10395021945663648,4.004103790703852,1871,0.12865731462925853,0.12865731462925853,3.5687857917444914,321,19.21329116821289
CV-skip,3,65.20512760501163,0.10650591699538864,74.97873742952095,16.971650291100644,0.10650591699538864,3.9822200559060574,1917,0.11342685370741483,0.11342685370741483,3.729353224199542,283,18.77021884918213
CV-skip,4,61.20748516432601,0.10406133674093006,81.83674623798571,19.89067917399873,0.10406133674093006,3.986244988930266,1873,0.11663326653306613,0.11663326653306613,3.688930991968661,291,17.359002351760864
CV-skip,5,58.43394943353762,0.10245013611867326,58.53350774797227,18.18327309633475,0.10245013611867326,3.968153979206894,1844,0.10180360721442885,0.10180360721442885,3.72811263069415,254,16.996173858642578
CV-skip,6,52.840358479966,0.0983387965998111,97.59552751548149,17.694797506321542,0.0983387965998111,4.000413106789991,1770,0.1218436873747495,0.1218436873747495,3.727962895706473,304,17.257423162460327
CV-skip,7,56.1920044833342,0.10050558364353575,74.88010479636641,18.332448013928413,0.10050558364353575,4.021061700116573,1809,0.11302605210420842,0.11302605210420842,3.730915789055718,282,17.40185046195984
CV-skip,8,58.542251264763685,0.1023390188343797,149.87134286415886,18.072336530031816,0.1023390188343797,3.9892908651913093,1842,0.12905811623246494,0.12905811623246494,3.9202093578112893,322,17.48381757736206
CV-skip,9,58.663870637951895,0.10211678426579254,141.03610405337832,18.283018611096526,0.10211678426579254,4.0245835670785235,1838,0.1342685370741483,0.1342685370741483,3.561451897131902,335,17.74633526802063
CV-gate,0,78.20725874489176,0.11356186454803045,86.40263765324156,36.727968535134536,0.11356186454803045,3.9670259098495495,2044,0.1062124248496994,0.1062124248496994,5.106941946805062,265,4.043908596038818
CV-gate,1,77.34837001815991,0.11356186454803045,148.60988946204196,35.38439736367449,0.11356186454803045,3.9179263447094184,2044,0.131062124248497,0.131062124248497,4.7502228949435,327,4.043892860412598
CV-gate,2,77.79431187244103,0.1145619201066726,161.31999779050972,36.896956347918206,0.1145619201066726,3.8281155217477134,2062,0.1186372745490982,0.1186372745490982,6.051989719322121,296,3.942474842071533
CV-gate,3,81.06285870023073,0.11528418245458082,81.77511084963967,39.72631511327036,0.11528418245458082,3.925154790605051,2075,0.10460921843687375,0.10460921843687375,5.174177076684013,261,3.976860284805298
CV-gate,4,76.05142505482081,0.11167287071503973,119.42235313255496,37.09183210249247,0.11167287071503973,4.064833260393395,2010,0.1186372745490982,0.1186372745490982,5.327178072078664,296,3.956671953201294
CV-gate,5,80.41936945324305,0.11478415467525974,95.45884496674877,35.94577857207568,0.11478415467525974,3.948246716871142,2066,0.10861723446893788,0.10861723446893788,5.158196090570791,271,3.9214465618133545
CV-gate,6,72.65847890796634,0.11095060836713151,139.54687994826276,33.907785881624164,0.11095060836713151,3.9446298634089563,1997,0.12024048096192384,0.12024048096192384,5.415040196784683,300,4.024310111999512
CV-gate,7,77.79456225734683,0.11433968553808545,80.21356160792894,36.26252423824224,0.11433968553808545,3.853510530471924,2058,0.09899799599198397,0.09899799599198397,6.23285694350866,247,3.9191248416900635
CV-gate,8,78.89172192260565,0.1133396299794433,160.27738396503906,41.120803391154624,0.1133396299794433,4.032678816164299,2040,0.1218436873747495,0.1218436873747495,5.812472878487417,304,4.0421528816223145
CV-gate,9,71.68624008745154,0.10928384910272793,163.80512016268582,37.590357322865316,0.10928384910272793,4.0811035496855315,1967,0.12865731462925853,0.12865731462925853,5.677170543996515,321,3.9467029571533203
CV-gate-g5,0,82.78154875185021,0.11900661147841547,65.8168426564745,41.42723264373589,0.11900661147841547,3.5974640132473343,2142,0.09859719438877755,0.09859719438877755,5.0085322186846195,246,3.9714462757110596
CV-gate-g5,1,68.19219666942588,0.11189510528362687,92.26446202580426,34.59699440891223,0.11189510528362687,3.571244383030763,2014,0.11182364729458918,0.11182364729458918,4.8235674634402175,279,3.9564762115478516
CV-gate-g5,2,70.11112529230351,0.1133396299794433,120.52197671776389,35.86386466209386,0.1133396299794433,3.5287419363561234,2040,0.11382765531062124,0.11382765531062124,5.857755787859457,284,3.9291698932647705
CV-gate-g5,3,72.71087478326503,0.11378409911661759,77.33776420538628,41.105881402668324,0.11378409911661759,3.629520125999484,2048,0.10140280561122245,0.10140280561122245,5.117476430050695,253,3.983936309814453
CV-gate-g5,4,72.98075661586876,0.11322851269514973,107.12729032333229,37.688986378735734,0.11322851269514973,3.7052641157738293,2038,0.1158316633266533,0.1158316633266533,5.005380069947228,289,3.9961915016174316
CV-gate-g5,5,73.0258985000775,0.11345074726373687,85.4914836130072,38.45262698546718,0.11345074726373687,3.6834722756458027,2042,0.10340681362725451,0.10340681362725451,5.301040708128794,258,4.071746110916138
CV-gate-g5,6,67.98861098880103,0.11083949108283793,116.49579081888953,38.538318222908195,0.11083949108283793,3.672229091340315,1995,0.1158316633266533,0.1158316633266533,5.498626709588253,289,3.9856619834899902
CV-gate-g5,7,72.61122926830029,0.1153397410967276,100.30236542022904,38.725434526711766,0.1153397410967276,3.4597017388602502,2076,0.10380761523046092,0.10380761523046092,5.81573511970889,259,3.926830768585205
CV-gate-g5,8,75.62788403854346,0.11545085838102116,140.52993173663847,42.21395270572184,0.11545085838102116,3.6110521680123457,2078,0.12224448897795591,0.12224448897795591,5.586856923368353,305,3.9288759231567383
CV-gate-g5,9,66.03356867076468,0.10872826268126007,166.08500775531192,36.68517627824762,0.10872826268126007,3.7829523220602885,1957,0.12705410821643287,0.12705410821643287,5.427883621954193,317,3.9972009658813477
