arm,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r0_kappa,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,kappa_drift_r2_r1,kappa_drift_r3_r1,n_edges_final,runtime_s
coupled_churn,1,0.09027850010728465,0.03289788884979659,0.02613040407696218,0.08887654479772476,25.199080641804215,25.532196504287427,25.879337670141304,25.35169653545416,11.279011518192528,5.460009026146751,5.477009116330771,5.305947871065278,0.347141165853877,0.18049996883326713,629,13.774730920791626
coupled_churn,0,0.09871174490758884,0.025935537016233273,0.029484714558332945,0.09837149817451851,25.22137531798768,25.6453833636446,26.109298103203415,25.281298871588902,10.015411149960917,4.7510330822400615,5.643805699514245,5.714818599621432,0.46391473955881324,0.36408449205569937,629,14.207528114318848
homeo_fixed_churn,9,0.0856763447790234,0.021921148148884937,0.021207354274643514,0.10046552445812683,25.20039731621972,25.5568775879348,25.904851875598503,25.22512911409872,11.276506299467771,6.0729682432780825,6.309678118697045,5.797952772767113,0.3479742876637033,0.33174847383607897,629,15.037244319915771
coupled_churn,2,0.09572451805325914,0.026869668611205374,0.020782899222705726,0.11428254287651121,25.21240519870606,25.64977466775131,26.018827008748573,25.201990571791157,2.0036963021985708,6.0298159669646,6.216992463261879,5.379224957704141,0.36905234099726414,0.44778409596015223,629,13.417046785354614
coupled_churn,3,0.0765909893654689,0.03136460905574975,0.028662992909054847,0.1106549836303826,25.248417759191216,25.64835410640686,25.9174446603848,25.719203879414064,11.014032449545763,5.58932692171507,5.939787303941217,5.708236430507362,0.26909055397793935,0.07084977300720396,629,12.58970046043396
coupled_churn,4,0.09538462246772877,0.028196315954799947,0.02937463053446448,0.11697245949831077,25.28120413070536,25.79486185102238,26.416482692532508,25.798927434889215,11.385030386367657,4.885694574476105,5.145253725615416,5.223373885488378,0.6216208415101292,0.00406558386683642,629,12.434584379196167
coupled_churn,5,0.08647583761208556,0.027306085794795588,0.020210237355873448,0.101233384276751,25.24490422599037,25.64571346632435,26.09030996119581,25.465707741297127,11.338746487297865,5.044523854528467,5.847340960219841,5.437981239566696,0.4445964948714618,0.18000572502722179,629,11.940048456192017
coupled_churn,6,0.09709445712964482,0.019615269330817427,0.01617434577368312,0.12650167437446375,25.149852100520473,25.41963019326829,25.667151023431536,24.97104376823184,11.731134407901376,5.3347242368233685,3.5012309234013608,5.1070939497472825,0.24752083016324633,0.4485864250364493,629,10.733510494232178
coupled_churn,8,0.08700196214594014,0.02498086170814514,0.02122629225971324,0.1313303125616068,25.240341393997156,25.557458200046472,25.977097552976474,25.107699250948887,10.841818126655863,5.28037492549531,5.56433896810908,5.078066494208761,0.41963935293000176,0.4497589490975855,629,10.232345819473267
coupled_churn,7,0.10322922623023159,0.021318637110417277,0.050136655467224935,0.10617309877614299,25.25538714262196,25.64159257676245,26.2294395988397,25.449303793831497,11.011729164930104,5.521822169320897,5.714196795583135,4.9566820707592045,0.587847022077252,0.19228878293095164,629,10.490262746810913
coupled_churn,9,0.07542781793040199,0.045359321967651516,0.024086211186807396,0.1141364834704752,25.231905523206258,25.725700959410663,26.238638096485577,25.582773706404502,11.276506299467771,5.217278439670163,5.570197552329845,4.803828134389827,0.5129371370749141,0.14292725300616027,629,10.082009315490723
