task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
drift_binary,R2_partial_shift,parallel,rmhl_norm,7,256,40000,13.969012260437012,0.7035580764302404,0.88,0.57,0.5
drift_binary,R2_partial_shift,parallel,rmhl_norm,8,256,40000,17.14333963394165,0.7139810557523681,0.905,0.5,0.515
drift_binary,R2_partial_shift,parallel,rmhl_norm,9,256,40000,14.071024656295776,0.7118199291475089,0.92,0.5,0.52
drift_binary,R2_partial_shift,parallel,rmhl_norm,2,256,40000,17.354454040527344,0.6877477952815256,0.895,0.5,0.465
drift_binary,R2_partial_shift,parallel,rmhl_norm,3,256,40000,14.565132856369019,0.706500087937489,0.89,0.48,0.5
drift_binary,R2_partial_shift,parallel,rmhl_norm,4,256,40000,17.41927456855774,0.6917063641617046,0.88,0.435,0.5
drift_binary,R2_partial_shift,parallel,rmhl_norm,5,256,40000,14.213867664337158,0.6936242807969649,0.895,0.5,0.5
drift_binary,R2_partial_shift,parallel,rmhl,8,256,40000,17.994625091552734,0.680919072385116,0.905,0.5,0.485
drift_binary,R2_partial_shift,parallel,rmhl,9,256,40000,14.425562858581543,0.7058929423883822,0.92,0.5,0.48
drift_binary,R2_partial_shift,parallel,delta_derived,0,256,40000,16.83127474784851,0.7433023039622121,0.99,0.5425,0.565
drift_binary,R2_partial_shift,parallel,delta_derived,1,256,40000,12.817402124404907,0.7371049722368785,0.99,0.6,0.5
drift_binary,R2_partial_shift,parallel,delta_derived,2,256,40000,13.357454538345337,0.7560149242481344,0.995,0.56,0.535
drift_binary,R2_partial_shift,parallel,delta_derived,3,256,40000,13.675395250320435,0.726041807994774,0.99,0.5,0.465
drift_binary,R2_partial_shift,parallel,delta_derived,6,256,40000,12.370226383209229,0.7399512575060927,0.985,0.6,0.5
drift_binary,R2_partial_shift,parallel,delta_derived,7,256,40000,17.109323501586914,0.751380744202407,0.98,0.6,0.53
drift_binary,R2_partial_shift,parallel,delta_derived,8,256,40000,12.661412000656128,0.7479356046330494,1.0,0.485,0.5
drift_binary,R2_partial_shift,parallel,delta_derived,9,256,40000,16.984994888305664,0.7353473530815808,0.99,0.49,0.5
drift_binary,R2_partial_shift,parallel,delta_derived,4,256,40000,12.703265905380249,0.7589384688826913,0.99,0.59,0.66
drift_binary,R2_partial_shift,parallel,delta_derived,5,256,40000,17.400712966918945,0.7670187934976508,0.99,0.52,0.6
drift_binary,R2_partial_shift,random_graph_k25,rmhl,2,256,40000,41.10096478462219,0.7338139745232531,0.935,0.5,0.535
drift_binary,R2_partial_shift,random_graph_k25,rmhl,3,256,40000,43.658984422683716,0.7057220924097385,0.94,0.5,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl,4,256,40000,40.948981046676636,0.7254600386924951,0.93,0.525,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl,5,256,40000,45.01972961425781,0.7233350920831135,0.93,0.5,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl,0,256,40000,40.99825882911682,0.7258370392703701,0.95,0.5,0.505
drift_binary,R2_partial_shift,random_graph_k25,rmhl,1,256,40000,45.387887954711914,0.7195369463078818,0.945,0.5,0.465
drift_binary,R2_partial_shift,random_graph_k25,rmhl,6,256,40000,41.622376441955566,0.7129454033818245,0.93,0.59,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl,7,256,40000,44.06861138343811,0.7131775583528052,0.93,0.43,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl,8,256,40000,48.001599073410034,0.7010397979950252,0.94,0.5,0.485
drift_binary,R2_partial_shift,random_graph_k25,rmhl,9,256,40000,42.20565462112427,0.7256484761689405,0.95,0.5,0.48
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,2,256,40000,44.273258686065674,0.7051212281098465,0.935,0.5,0.465
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,3,256,40000,42.6028356552124,0.7313470767066155,0.94,0.48,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,0,256,40000,44.80115103721619,0.7208095273988091,0.95,0.5,0.495
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,1,256,40000,43.3612163066864,0.7202957212130349,0.945,0.5,0.535
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,4,256,40000,44.169474840164185,0.7161637898545262,0.93,0.525,0.46
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,5,256,40000,44.10946846008301,0.7119785935026759,0.93,0.5,0.5
drift_binary,R3_compression,parallel,rmhl,0,256,40000,17.435980319976807,0.7074263209467099,0.915,0.5,0.505
drift_binary,R3_compression,parallel,rmhl,1,256,40000,17.309808254241943,0.700612296173463,0.91,0.5,0.465
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,0,256,40000,43.20671629905701,0.7548498781437653,1.0,0.5,0.58
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,1,256,40000,42.98311805725098,0.75684832039396,1.0,0.615,0.5225
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,6,256,40000,43.79784107208252,0.733201175849853,0.93,0.475,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,7,256,40000,43.987643003463745,0.7234260445717444,0.93,0.57,0.5
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,8,256,40000,43.45049047470093,0.7305842818019647,0.94,0.5,0.515
drift_binary,R2_partial_shift,random_graph_k25,rmhl_norm,9,256,40000,43.68435788154602,0.7310729629908796,0.95,0.5,0.52
drift_binary,R2_partial_shift,random_graph_k25,delta_derived,2,256,40000,42.932523012161255,0.7545843069269617,1.0,0.58,0.525
