lambda_target,cv_tau,arm,seed_idx,pre_nmse,post_nmse,kappa_settled,mc_heldout,runtime_s
-0.02,0.1,fixed,0,0.007969030125518087,0.0022437177059951214,25.0,10.30509828055112,64.91033339500427
-0.02,0.1,fixed,1,0.008392514227520105,0.002155324361424608,25.0,10.066503675999611,62.951037645339966
-0.02,0.1,fixed,2,0.007480173409469031,0.002352731193603841,25.0,10.103397010320993,58.36065411567688
-0.02,0.1,fixed,3,0.007082677614694625,0.0019242675233070224,25.0,8.162981221022418,64.82861709594727
-0.02,0.1,fixed,4,0.006324669557812005,0.0023927518168933774,25.0,8.70592148717612,62.86208891868591
-0.02,0.1,regulated,0,0.0078184056890369,0.0031252325769729476,26.205758594316134,11.210428958841229,68.81273174285889
-0.02,0.1,regulated,1,0.009015631899785497,0.0036256381195552433,27.426106543034646,12.18216878459728,81.21348309516907
-0.02,0.1,regulated,2,0.007942873454952728,0.0031026307008045757,26.09314193559078,11.409660798989446,80.12620949745178
-0.02,0.1,regulated,3,0.0074938266669225245,0.002463269906455817,26.757236219559296,8.826184648949262,74.69298791885376
-0.02,0.1,regulated,4,0.006945341187746812,0.004071102058211791,27.439199536211863,10.223406390319228,76.81533360481262
-0.02,0.2,fixed,0,0.0059317340846643096,0.001574663435217403,25.0,9.66038209175254,68.51592183113098
-0.02,0.2,fixed,1,0.005792986200282418,0.0019100435294290266,25.0,9.208748533953605,68.1970522403717
-0.02,0.2,fixed,2,0.005271452283163257,0.0014640583652449114,25.0,9.759486661908547,73.30267930030823
-0.02,0.2,fixed,3,0.00561825381493118,0.0013787739716397507,25.0,8.901940498520446,67.49705719947815
-0.02,0.2,fixed,4,0.0054458991568762,0.0015552283371944255,25.0,5.851295454996026,64.14075636863708
-0.02,0.2,regulated,0,0.006802541431178432,0.002350524744662146,27.140956637475576,11.226403920656724,73.41558599472046
-0.02,0.2,regulated,1,0.006590556494463958,0.0026396294611953502,27.04892062517135,10.20074482753618,79.83312439918518
-0.02,0.2,regulated,2,0.004870593644498268,0.0032629458848079133,27.202796494714086,9.827902669826901,67.29073524475098
-0.02,0.2,regulated,3,0.005285852134771661,0.0026099867508937178,27.148298267902945,8.820131001974831,75.1910753250122
-0.02,0.2,regulated,4,0.006329179365130081,0.0026979929682744742,27.41823743940623,10.562533154966745,69.90296840667725
-0.02,0.4,fixed,0,0.004348945715177133,0.0015486739694992458,25.0,7.83649716128538,69.42021799087524
-0.02,0.4,fixed,1,0.0056081365711142415,0.002289786895013523,25.0,6.903666277387175,64.82741737365723
-0.02,0.4,fixed,2,0.004660768055163868,0.0017004685241924081,25.0,7.786740699125145,76.77853846549988
-0.02,0.4,fixed,3,0.004499237018016434,0.0017849433467785017,25.0,8.005535210123183,74.78978371620178
-0.02,0.4,fixed,4,0.004796602041904238,0.0021765992526230713,25.0,7.117980348512116,64.99817752838135
-0.02,0.4,regulated,0,0.004933210270055974,0.002267864569855889,26.60499147310924,8.599688865470808,72.86714315414429
-0.02,0.4,regulated,1,0.0059469343097858325,0.0022938060357545905,26.022706322282446,6.971144090500801,87.05966138839722
-0.02,0.4,regulated,2,0.004783504268505298,0.00238428303976712,26.20995180500249,7.354295587453607,77.61847877502441
-0.02,0.4,regulated,3,0.004629152158167148,0.0022625229263544475,26.077750011928686,8.172896429262993,83.1241888999939
-0.02,0.4,regulated,4,0.005767302788889145,0.00305454019033502,26.454214531718993,8.31067683510603,74.85855102539062
-0.005,0.1,fixed,0,0.007969030125518087,0.0022437177059951214,25.0,10.30509828055112,68.65650582313538
-0.005,0.1,fixed,1,0.008392514227520105,0.002155324361424608,25.0,10.066503675999611,66.13859844207764
-0.005,0.1,fixed,2,0.007480173409469031,0.002352731193603841,25.0,10.103397010320993,73.58820962905884
-0.005,0.1,fixed,3,0.007082677614694625,0.0019242675233070224,25.0,8.162981221022418,79.05039834976196
-0.005,0.1,fixed,4,0.006324669557812005,0.0023927518168933774,25.0,8.70592148717612,71.19439101219177
-0.005,0.1,regulated,0,0.009035761082043865,0.003396889102329731,27.354447429451223,7.513020342654523,77.712078332901
-0.005,0.1,regulated,1,0.009739990640385053,0.003709980318291768,27.90474435677058,12.557460443190756,81.7150387763977
-0.005,0.1,regulated,2,0.008267510493898029,0.004140758030506552,26.831688269382408,11.777755935461082,87.30082893371582
-0.005,0.1,regulated,3,0.007937248450300147,0.0027320357955677495,27.312434408131775,10.03417824233319,81.57342863082886
-0.005,0.1,regulated,4,0.0073515003551364215,0.004611509411416305,27.893798926378892,9.196499954793982,70.28203988075256
-0.005,0.2,fixed,0,0.0059317340846643096,0.001574663435217403,25.0,9.66038209175254,58.81449341773987
-0.005,0.2,fixed,1,0.005792986200282418,0.0019100435294290266,25.0,9.208748533953605,58.453168869018555
-0.005,0.2,fixed,2,0.005271452283163257,0.0014640583652449114,25.0,9.759486661908547,66.84380412101746
-0.005,0.2,fixed,3,0.00561825381493118,0.0013787739716397507,25.0,8.901940498520446,59.7525098323822
-0.005,0.2,fixed,4,0.0054458991568762,0.0015552283371944255,25.0,5.851295454996026,58.170660734176636
-0.005,0.2,regulated,0,0.007393133858502845,0.0027671142532679585,27.80123338015476,11.235421240258209,64.39722347259521
-0.005,0.2,regulated,1,0.007799779248004569,0.003194489936788275,27.791015534947373,10.46537051191019,66.29458403587341
-0.005,0.2,regulated,2,0.00584681256294081,0.0036070968541140305,27.68281372399802,10.55553363128849,70.50325274467468
-0.005,0.2,regulated,3,0.006437814823573247,0.0028946220785489177,27.774145087970115,9.037725109702443,66.19413733482361
-0.005,0.2,regulated,4,0.006683851961130763,0.00250170833839353,27.69450262660734,10.61970610514669,63.38693451881409
-0.005,0.4,fixed,0,0.004348945715177133,0.0015486739694992458,25.0,7.83649716128538,56.73218321800232
-0.005,0.4,fixed,1,0.0056081365711142415,0.002289786895013523,25.0,6.903666277387175,59.77899765968323
-0.005,0.4,fixed,2,0.004660768055163868,0.0017004685241924081,25.0,7.786740699125145,66.03922152519226
