config_name,topology,coupling_mode,kappa,seed_idx,n_units,cv_tau,t_total,n_washout,k_max,ftle_per_pulse,mc_total,mc_total_test,mc_k0,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,mean_state,runtime_s
hub_star,hub_star,2,0.3,0,256,0.2,1200,200,50,-0.045869735769569896,12.06118964052105,9.127025850941925,0.6272743185557406,0.6260041810146945,0.0232231330730693,0.0,0.30167953803544617,0.20668676968189345,1.3793680667877197
hub_star,hub_star,2,0.3,1,256,0.2,1200,200,50,-0.04402905830673146,9.595047799773317,9.510358276669137,0.6513511242121084,0.657078355419463,0.01911036721944889,0.0,0.27803344867191904,0.2078289677149954,1.4959003925323486
hub_star,hub_star,2,0.3,6,256,0.2,1200,200,50,-0.03251120554715006,11.951393454087965,9.609465256158943,0.6691430281841693,0.6861607876883569,0.023981851254412812,0.0,0.20275715714955322,0.2242775895852789,1.4497623443603516
hub_star,hub_star,2,0.3,7,256,0.2,1200,200,50,-0.04775402545555443,11.52237345533546,11.521694407119485,0.6355186565328129,0.6379284205407969,0.02194383514613115,0.0,0.2934916395286898,0.20104431637902928,1.402977466583252
hub_star,hub_star,2,0.3,8,256,0.2,1200,200,50,-0.03492208395560034,11.188469866423011,7.861664225497215,0.6619295091041124,0.6602599922100388,0.02293078684267881,0.0,0.19182189887906517,0.22111177926702155,1.4123380184173584
hub_star,hub_star,2,0.3,9,256,0.2,1200,200,50,-0.03676121022632564,11.607968076146891,7.788383991547453,0.6425308048075175,0.6431038762576132,0.020235393934418207,0.0,0.19443795342214765,0.22484773394026264,1.6833429336547852
hub_star,hub_star,2,0.5,0,256,0.2,1200,200,50,-0.03141811210543796,12.187714528685163,9.299897866087676,0.6253487213052669,0.6222495839277316,0.021538463487936657,0.0,0.34418382671686654,0.19329053688444947,1.1969285011291504
hub_star,hub_star,2,0.5,1,256,0.2,1200,200,50,-0.028127510674299454,9.701648274050521,9.607784460631825,0.6494939108372514,0.6563807921306648,0.017868435110098942,0.0,0.31979928812838265,0.19578677556308968,1.1959869861602783
hub_star,hub_star,2,0.5,2,256,0.2,1200,200,50,-0.015516088543790385,10.890116146876121,9.338445415363536,0.6866873755550315,0.6624710619926768,0.02642202952370994,0.018320261437908495,0.5215824486557203,0.24252560592046307,1.221282720565796
hub_star,hub_star,2,0.5,3,256,0.2,1200,200,50,-0.024488437366105894,9.66890205161615,6.0616793654969765,0.6435767508697177,0.6320911033503541,0.01903506852914956,0.0,0.3538728011456489,0.19382302545074562,1.8071174621582031
