task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,4,256,40000,4.150540590286255,0.9351208512348935,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,5,256,40000,4.196792364120483,0.9362905454636818,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,8,256,40000,4.039761304855347,0.9340455013693122,0.94,0.93,0.93,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,9,256,40000,4.040918588638306,0.9302503705937037,0.95,0.925,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,6,256,40000,4.102811098098755,0.9351184643601919,0.93,0.945,0.95,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,7,256,40000,4.070642709732056,0.932629079671365,0.93,0.95,0.93,0,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,0,256,40000,4.233331680297852,0.9248783950152006,0.95,0.95,0.945,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,1,256,40000,4.061857223510742,0.9209818848772644,0.945,0.95,0.945,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,4,256,40000,4.056180953979492,0.9197192281600963,0.93,0.945,0.95,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,5,256,40000,3.9745616912841797,0.9206627974171504,0.93,0.945,0.95,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,2,256,40000,4.1685404777526855,0.9212416773447902,0.935,0.95,0.935,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,3,256,40000,4.053091287612915,0.9194192356975955,0.94,0.93,0.945,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,6,256,40000,4.154116630554199,0.9204957161880354,0.93,0.945,0.95,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,7,256,40000,4.194458723068237,0.9188103313987086,0.93,0.95,0.93,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,8,256,40000,4.125154256820679,0.9182167533479056,0.94,0.93,0.93,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,9,256,40000,4.360827445983887,0.917888872138891,0.95,0.925,0.945,1,0
drift_binary,R1_full_swap,random_graph_k25,single_flip_norm,0,256,40000,4.265116930007935,0.9402548930931384,0.95,0.95,0.945,0,0
