arm,seed,stream_ppl,neg_frac,clip_frac,t_adapt_mean,forgetting_ppl,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
SSM-uniform,5,15.820238151406658,0.001366176774994825,0.001366176774994825,20.0,12.91413734779401,15.291040760542842,33,0.0,0.0,12.91413734779401,0,22.296469688415527
SSM-uniform,6,15.72100566202164,0.002006305531670966,0.002006305531670966,20.0,12.767388452224049,14.954145035226645,49,0.0,0.0,12.767388452224049,0,22.307337760925293
SSM-uniform,7,16.316843496986213,0.0027162008236221854,0.0027162008236221854,20.0,13.180192686583863,15.24950329895015,62,0.0008588605782994561,0.0008588605782994561,12.84550057144744,3,21.071716785430908
SSM-uniform,8,16.241204262453884,0.0016661112962345886,0.0016661112962345886,20.0,13.627988584281567,15.581595185401959,40,0.001145147437732608,0.001145147437732608,13.156380937471265,4,22.001011848449707
SSM-uniform,9,15.674570144542765,0.0015444643147455698,0.0015444643147455698,20.0,12.407690145567628,15.082807616728715,38,0.000286286859433152,0.000286286859433152,12.340175564116553,1,22.493242979049683
SSM-hard,0,18.846650365087527,0.040501996577296064,0.040501996577296064,20.0,7.829008416590204,6.645445221068592,923,0.013741769252791297,0.013741769252791297,5.370142019648729,48,9.006376266479492
SSM-hard,1,18.2148541542047,0.03953981466938904,0.03953981466938904,20.0,8.130985668466456,6.581175776760935,1007,0.014600629831090752,0.014600629831090752,5.573940269105024,51,10.163265228271484
SSM-hard,2,17.666790067621566,0.039977931502779784,0.039977931502779784,20.0,8.231439775138657,6.300572748944316,942,0.016890924706555968,0.016890924706555968,5.24707871574068,59,11.56636095046997
SSM-hard,3,17.411009215579003,0.03787519747235387,0.03787519747235387,20.0,7.977331606186742,6.565624910895116,959,0.012024048096192385,0.012024048096192385,5.8245889505250785,42,19.787977695465088
SSM-hard,4,17.802946402177117,0.03848839597453276,0.03848839597453276,20.0,7.222000587061449,6.60996694401086,937,0.00830231892356141,0.00830231892356141,5.808320987804139,29,13.49332857131958
SSM-hard,5,19.852030943150776,0.04218588283999172,0.04218588283999172,20.0,7.815015609066649,6.7056114049207025,1019,0.012882908674491841,0.012882908674491841,5.487502210693535,45,13.101413011550903
SSM-hard,6,18.16369790816916,0.037464684928141506,0.037464684928141506,20.0,8.067313079758497,6.936511951191995,915,0.013455482393358144,0.013455482393358144,5.650646754537251,47,14.052515983581543
SSM-hard,7,18.92123259202918,0.03942872163322527,0.03942872163322527,20.0,9.117601855525733,6.86749997416178,900,0.01660463784712282,0.01660463784712282,5.816661921413034,58,12.188827514648438
SSM-hard,8,19.146857636339888,0.03761246251249584,0.03761246251249584,20.0,9.683752101101243,7.298197692384917,903,0.015745777268823362,0.015745777268823362,6.3366454327780035,55,11.969868421554565
SSM-hard,9,17.206609394790856,0.03950577141928142,0.03950577141928142,20.0,7.5392328708572816,6.208007494786179,972,0.011165187517892928,0.011165187517892928,5.587772997745388,39,11.988104104995728
SSM-REDEM,0,13.568189010086659,0.0010531396726490851,0.0010531396726490851,20.0,8.696480368875545,13.214929380433464,24,0.000286286859433152,0.000286286859433152,8.648983787177082,1,44.16915488243103
SSM-REDEM,1,12.633408731736484,0.0005889743992461128,0.0005889743992461128,20.0,8.741553779375577,12.44795010878776,15,0.0,0.0,8.741553779375577,0,52.820481300354004
SSM-REDEM,2,12.664277346734092,0.0005941518482366422,0.0005941518482366422,20.0,8.774414399963229,12.476760590448492,14,0.0008588605782994561,0.0008588605782994561,8.641829419984138,3,34.76406979560852
SSM-REDEM,3,13.273718432641381,0.0006714060031595576,0.0006714060031595576,20.0,9.526302966294539,13.052232654015633,17,0.0,0.0,9.526302966294539,0,45.24745488166809
SSM-REDEM,4,13.225325340230569,0.00045183815978640376,0.00045183815978640376,20.0,8.878039268494721,13.076417516675019,11,0.000286286859433152,0.000286286859433152,8.830988420660848,1,37.363975048065186
SSM-REDEM,5,13.338057564175617,0.0007037880356033947,0.0007037880356033947,20.0,9.117517071889706,13.104895656171003,17,0.000286286859433152,0.000286286859433152,9.06666983840664,1,34.08769702911377
SSM-REDEM,6,12.667864653402079,0.000655120173606846,0.000655120173606846,20.0,8.67735418406142,12.461195104028704,16,0.001145147437732608,0.001145147437732608,8.482604354398083,4,57.133944511413574
SSM-REDEM,7,13.52068277431061,0.0011390519582931745,0.0011390519582931745,20.0,9.011060816731417,13.140265737982578,26,0.000286286859433152,0.000286286859433152,8.967553917266029,1,29.387808799743652
SSM-REDEM,8,13.880951751777971,0.0005831389536821059,0.0005831389536821059,20.0,9.40259508858883,13.679936205271163,14,0.0,0.0,9.40259508858883,0,33.46946835517883
SSM-REDEM,9,13.023387164722706,0.00036579417980816127,0.00036579417980816127,20.0,8.485911901799328,12.904486391634277,9,0.000286286859433152,0.000286286859433152,8.436233115884253,1,30.88132333755493
