task,substrate,readout,seg_len,seq_kind,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_cap,detect_cq,detect_delta,n_expansions,n_snaps,best_delta,best_delta_b,cq_at_best_delta,n_above_margin,n_above_floor,n_above_both,gate_blocker,seg1_acc,seg1_cap,seg1_delta,seg2_acc,seg2_cap,seg2_delta,seg3_acc,seg3_cap,seg3_delta,seg4_acc,seg4_cap,seg4_delta,seg5_acc,seg5_cap,seg5_delta,seg6_acc,seg6_cap,seg6_delta
relative_sense_stress,parallel,rls_auto,500,ABAB,5,256,40000,5.300123453140259,0.7341411019823623,779,0.44166666666666665,0.6166666666666667,0.17500000000000004,1,0,0.17500000000000004,779,0.6166666666666667,4,19,4,triggered,0.9,0.9441666666666666,0.007499999999999984,0.565,0.642857142857143,0.041666666666666664,0.9,nan,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,6,256,40000,9.970162630081177,0.7269842466269691,1799,0.55,0.725,0.17499999999999993,1,0,0.17499999999999993,1799,0.725,8,53,8,triggered,0.9,0.8758333333333332,-0.026666666666666682,0.5,0.6023333333333334,0.03400000000000001,0.9,0.778,-0.020000000000000007,0.6,0.6566666666666667,0.03000000000000002,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,rls_auto,500,ABAB,7,256,40000,9.588491439819336,0.7163840104519987,1739,0.5833333333333334,0.7583333333333333,0.17499999999999993,1,0,0.19999999999999996,1719,0.7333333333333333,5,50,4,triggered,0.9,0.9016666666666667,-0.004166666666666652,0.5,0.6083333333333333,0.04266666666666666,0.9,0.7913333333333334,0.0036666666666666757,0.58,0.6506944444444445,0.048611111111111084,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,2,256,40000,6.33791184425354,0.7745709906786262,999,0.48333333333333334,0.6333333333333333,0.14999999999999997,1,44,0.20833333333333337,979,0.7166666666666667,4,21,4,triggered,0.9,0.9191666666666668,0.02916666666666664,0.565,0.6023333333333334,0.04233333333333333,1.0,nan,nan,0.7,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,3,256,40000,5.975547790527344,0.7497500062812493,859,0.475,0.675,0.20000000000000007,1,43,0.20000000000000007,859,0.675,4,21,4,triggered,0.9,0.9,-0.02416666666666667,0.515,0.6287037037037038,0.05833333333333332,0.91,nan,nan,0.655,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,8,256,40000,5.109752416610718,0.7771337403582824,739,0.625,0.8,0.17500000000000004,1,43,0.18333333333333335,699,0.7916666666666666,3,19,3,triggered,0.91,0.9183333333333333,0.004166666666666674,0.6,0.6777777777777779,0.03958333333333334,1.0,nan,nan,0.635,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,9,256,40000,6.139073371887207,0.7724315971960505,879,0.5083333333333333,0.7583333333333333,0.25,1,42,0.25,879,0.7583333333333333,4,25,4,triggered,0.9,0.8983333333333334,-0.016666666666666663,0.6,0.6622807017543859,0.06578947368421052,1.0,nan,nan,0.6,nan,nan,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,6,256,40000,13.74880337715149,0.9023881309514835,-1,nan,nan,nan,0,70,0.10000000000000009,1199,0.925,1,73,1,hold,1.0,0.9008333333333333,0.021666666666666667,0.9,0.7673333333333333,0.014000000000000007,0.935,0.8283333333333333,0.02433333333333335,0.9,0.8063333333333333,0.0020000000000000104,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,7,256,40000,13.355170249938965,0.8776626215421722,-1,nan,nan,nan,0,67,0.09166666666666667,1759,0.8833333333333333,0,76,0,margin,1.0,0.8983333333333332,-0.0025000000000000022,0.89,0.7746666666666667,0.014333333333333335,0.9,0.7943333333333333,0.003333333333333335,0.845,0.7813333333333332,0.015333333333333327,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,8,256,40000,13.842421293258667,0.8922615009673124,-1,nan,nan,nan,0,70,0.07500000000000007,1979,0.925,0,73,0,margin,1.0,0.9216666666666666,-0.013333333333333319,0.9,0.7863333333333334,0.0016666666666666741,0.9,0.795,0.014666666666666672,0.9,0.7796666666666667,0.011333333333333341,nan,nan,nan,nan,nan,nan
relative_sense_stress,random_graph_k25,pop_auto,500,ABAB,9,256,40000,13.368855714797974,0.8850707268661591,-1,nan,nan,nan,0,67,0.15833333333333333,359,0.6916666666666667,2,73,2,hold,1.0,0.7691666666666667,0.006666666666666687,0.9,0.7083333333333335,0.0026666666666666705,0.9,0.8233333333333333,0.02600000000000001,0.9,0.7803333333333334,-0.003333333333333339,nan,nan,nan,nan,nan,nan
relative_sense_stress,parallel,pop_auto,500,ABAB,4,256,40000,10.427114486694336,0.7532624808421899,-1,nan,nan,nan,0,44,0.15833333333333333,759,0.7333333333333333,6,63,5,hold,0.9,0.9091666666666667,-0.016666666666666653,0.59,0.6419999999999999,0.04033333333333331,0.925,0.7876666666666666,-0.02333333333333333,0.6,0.6303333333333333,0.047333333333333345,nan,nan,nan,nan,nan,nan
