exp,arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,flips,norm_mean,norm_max,norm_final,recovery_tokens,dt_mean,dt_max,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
E1,A3-soft,500.0,4,8.233107887262419,0.0027223734651925105,20.0,6.174978064855852,,,,,,,,0.0027223734651925105,7.679013957645433,49,0.0,0.0,6.174978064855852,0,8.40006971359253
E1,A3-soft,500.0,5,8.222381076649276,0.0023890216123117953,20.0,6.111078299142669,,,,,,,,0.0023890216123117953,7.7348495772014205,43,0.0,0.0,6.111078299142669,0,8.385795593261719
E1,A3-soft,500.0,6,8.308921527513402,0.0028334907494860827,20.0,6.610681135450278,,,,,,,,0.0028334907494860827,7.727856972374923,51,0.0004008016032064128,0.0004008016032064128,6.542272973383905,1,8.429693937301636
E1,A3-soft,500.0,7,8.127819687481571,0.0028890493916328684,20.0,6.176321950215572,,,,,,,,0.0028890493916328684,7.548168655288829,52,0.0004008016032064128,0.0004008016032064128,6.117576060165163,1,8.365428447723389
E1,A3-soft,500.0,8,8.141373156528338,0.0027223734651925105,20.0,6.865114537519607,,,,,,,,0.0027223734651925105,7.593220783561727,49,0.0008016032064128256,0.0008016032064128256,6.711120102999534,2,8.408687114715576
E1,A3-soft,500.0,9,8.093122283464897,0.002500138896605367,20.0,6.299058106069142,,,,,,,,0.002500138896605367,7.591285871278548,45,0.0004008016032064128,0.0004008016032064128,6.236651995858294,1,8.565697193145752
E2,BARE-clean,,0,,,,,0,47.97753070913677,53.981053926436154,50.240224195432965,nan,nan,nan,,,,,,,,0.8679146766662598
E2,BARE-clean,,1,,,,,0,43.74053761401009,50.312734094590546,45.72517331669743,nan,nan,nan,,,,,,,,0.8880345821380615
E2,BARE-clean,,2,,,,,0,53.00782296287338,61.66471937910935,53.450404588151706,nan,nan,nan,,,,,,,,0.9110159873962402
E2,BARE-clean,,3,,,,,3,49.887016165742885,55.816154656821226,53.576202723629684,nan,nan,nan,,,,,,,,0.8859865665435791
E2,BARE-clean,,4,,,,,0,49.44147298080621,55.93235344579688,51.426065175814145,nan,nan,nan,,,,,,,,0.8691737651824951
E2,BARE-clean,,5,,,,,0,57.05835952026241,66.4833353033493,59.729682067981294,nan,nan,nan,,,,,,,,0.8762557506561279
E2,BARE-clean,,6,,,,,0,49.52999911905305,56.51502493082735,52.01584521114107,nan,nan,nan,,,,,,,,0.8799717426300049
E2,BARE-clean,,7,,,,,3,53.06418807746674,59.55631553821348,56.48691052677278,nan,nan,nan,,,,,,,,0.9137823581695557
E2,BARE-clean,,8,,,,,0,44.66339093622537,53.45436562972131,45.085187131171246,nan,nan,nan,,,,,,,,0.8859875202178955
E2,BARE-clean,,9,,,,,0,53.51201631607941,63.988850952490836,53.712992768047165,nan,nan,nan,,,,,,,,0.8674745559692383
E2,BARE-dist,,0,,,,,0,47.96106424832309,60.43276977660932,50.23991559128068,nan,nan,nan,,,,,,,,0.8797962665557861
E2,BARE-dist,,1,,,,,0,43.72515014355128,57.60486140196465,45.72439603341381,nan,nan,nan,,,,,,,,0.8788578510284424
E2,BARE-dist,,2,,,,,0,53.00465650937435,65.30056346187776,53.45036242422807,nan,nan,nan,,,,,,,,0.9071049690246582
E2,BARE-dist,,3,,,,,3,49.90783664346163,67.05010219307124,53.57630168245856,nan,nan,nan,,,,,,,,0.9115321636199951
E2,BARE-dist,,4,,,,,0,49.47347906337058,63.840409521019396,51.42548504015915,nan,nan,nan,,,,,,,,0.8948278427124023
E2,BARE-dist,,5,,,,,0,57.10926753270303,72.12439012909644,59.72995718706022,nan,nan,nan,,,,,,,,0.8799839019775391
E2,BARE-dist,,6,,,,,0,49.55104405975289,71.26502749176089,52.01594571339738,nan,nan,nan,,,,,,,,0.8805789947509766
E2,BARE-dist,,7,,,,,3,53.108018584290754,64.96154339988367,56.48688369518321,nan,nan,nan,,,,,,,,0.886427640914917
E2,BARE-dist,,8,,,,,0,44.675221697145034,72.91391955036912,45.08535314350186,nan,nan,nan,,,,,,,,0.9089956283569336
E2,BARE-dist,,9,,,,,0,53.510015554100576,71.86444162446757,53.713239048552104,nan,nan,nan,,,,,,,,0.8978824615478516
E2,REG-clean,,0,,,,,5,11.313950488520867,13.433854367930568,11.615502123392465,nan,5.213910669119785,7.427051862892704,,,,,,,,1.0086755752563477
E2,REG-clean,,1,,,,,5,11.311455249516108,13.275216200926701,11.314749603790851,nan,4.886524302430636,7.135780088322744,,,,,,,,1.0115978717803955
