task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R2_partial_shift,parallel,single_flip,8,256,40000,4.102436304092407,0.6819685435039321,0.905,0.5,0.485,2
drift_binary,R2_partial_shift,parallel,single_flip,9,256,40000,4.481700658798218,0.718490615813673,0.92,0.5,0.52,3
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,0,256,40000,11.076239109039307,0.7479359815080022,0.515,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,1,256,40000,14.288521766662598,0.7609519861310017,0.5,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,2,256,40000,9.882303714752197,0.7514321248209844,0.58,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,3,256,40000,11.049092769622803,0.7612811235898596,0.47,1.0,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,0,256,40000,5.7642481327056885,0.7466294816713147,0.515,0.985,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,1,256,40000,6.039119482040405,0.7601731112283611,0.5,0.99,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,4,256,40000,12.79323124885559,0.7443468757066405,0.5,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,5,256,40000,10.293776273727417,0.7470365066204367,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,4,256,40000,7.837517499923706,0.7431408758573905,0.5,0.99,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,5,256,40000,5.521172285079956,0.7459561317554836,0.5,0.99,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,2,256,40000,9.480426549911499,0.750602999924625,0.58,0.99,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,3,256,40000,5.492321252822876,0.759974623753172,0.47,0.985,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,8,256,40000,6.15643048286438,0.7414059948242506,0.44,0.985,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,9,256,40000,7.470108270645142,0.7549257556342804,0.5,0.985,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,6,256,40000,7.068188190460205,0.7461320067334992,0.5,0.99,1.0,0
drift_binary,R2_partial_shift,parallel,rls_fresh,7,256,40000,8.116579532623291,0.751128112358986,0.5,0.99,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,0,256,40000,7.669074296951294,0.7255244843094395,0.95,0.5,0.505,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,1,256,40000,7.197399139404297,0.7195360669329915,0.945,0.5,0.465,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,8,256,40000,14.686064004898071,0.7423607447049069,0.44,1.0,1.0,0
drift_binary,R1_full_swap,random_graph_k25,rls_fresh,9,256,40000,11.527952194213867,0.7557800055274992,0.5,1.0,1.0,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,2,256,40000,7.723749160766602,0.7338403557699555,0.935,0.5,0.535,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,3,256,40000,8.201714515686035,0.7057169417853822,0.94,0.5,0.5,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,6,256,40000,7.59619927406311,0.7126328484208939,0.93,0.59,0.5,0
drift_binary,R2_partial_shift,random_graph_k25,rmhl,7,256,40000,6.973150968551636,0.7131790658526168,0.93,0.43,0.5,0
