arm,seed_idx,n_edges,degree_mean,mc_initial,mc_final,runtime_s
evolve_ring_gentle,9,256,2.0,9.489499596579908,9.997803937584166,11.090353965759277
evolve_ring_gentle,6,256,2.0,12.542698278168967,13.850032898366972,12.126626968383789
evolve_ring_gentle,7,256,2.0,12.507369016278338,12.873540733456394,12.024281740188599
repair_damaged,0,648,5.0625,13.915169813604196,7.287462809243043,9.075371026992798
repair_damaged,2,618,4.828125,13.847901375917445,15.41229471346144,9.144187450408936
repair_damaged,5,659,5.1484375,13.560721820024623,15.438936750014863,8.61994481086731
repair_damaged,1,637,4.9765625,12.906474575743479,14.507799158496255,9.199229717254639
repair_damaged,6,669,5.2265625,6.836091324926477,8.703859009275984,8.856439352035522
repair_damaged,4,650,5.078125,11.559718243846907,16.578165438579628,9.286414861679077
repair_damaged,7,629,4.9140625,14.190268332619366,16.459289962598618,8.28597378730774
repair_damaged,3,648,5.0625,12.966229153670367,14.821217184139995,9.57543420791626
repair_damaged,8,644,5.03125,13.23997734206718,16.372959806726623,8.295949935913086
repair_damaged,9,638,4.984375,13.809552654684754,15.542114313117036,8.26673674583435
