task,boundary,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc,switch_block,detect_cap,n_expansions,post_switch_acc
auto_basis,circle,parallel,rls_quad_start,5,256,40000,10.559773445129395,0.6515539810557524,0.6,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,6,256,40000,10.217983484268188,0.6298748775156403,0.7,0.655,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,7,256,40000,10.69602370262146,0.6653513730810783,0.635,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,8,256,40000,10.385190486907959,0.6343898394512701,0.6,0.6,-1,nan,0,nan
auto_basis,circle,parallel,rls_quad_start,9,256,40000,10.686333894729614,0.6627358609080175,0.695,0.7,-1,nan,0,nan
auto_basis,circle,parallel,rls_auto_expand,0,256,40000,10.253071069717407,0.574896359387955,0.62,0.6275,579,0.5083333333333333,1,0.685
auto_basis,circle,parallel,rls_auto_expand,1,256,40000,10.535001277923584,0.6098703550162057,0.75,0.675,579,0.5,1,0.6
auto_basis,circle,parallel,rls_auto_expand,2,256,40000,11.388176679611206,0.5540426119946735,0.5,0.7,1519,0.4666666666666667,1,0.635
auto_basis,circle,parallel,rls_auto_expand,3,256,40000,10.702839612960815,0.5847478706565161,0.6,0.7,879,0.5083333333333333,1,0.6
auto_basis,circle,parallel,rls_auto_expand,4,256,40000,10.665035247802734,0.5736715157910605,0.56,0.7,759,0.475,1,0.555
auto_basis,circle,parallel,rls_auto_expand,5,256,40000,9.604984998703003,0.614117735735283,0.62,0.61,439,0.4583333333333333,1,0.65
auto_basis,circle,parallel,delta_linear_only,0,256,40000,4.121145248413086,0.48883947639506553,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,1,256,40000,3.760657548904419,0.521155247355594,0.48,0.5,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,4,256,40000,4.046123504638672,0.4956332755458406,0.49,0.485,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,5,256,40000,3.4132797718048096,0.49728398783950156,0.6,0.52,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,2,256,40000,4.204315900802612,0.49529785683776784,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,3,256,40000,3.528345823287964,0.5015577498052812,0.6,0.5,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,6,256,40000,4.194364309310913,0.4962287379714077,0.445,0.55,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,7,256,40000,4.153759241104126,0.4915793573025803,0.5,0.465,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,8,256,40000,3.810682773590088,0.5062812492148439,0.5,0.5,-1,nan,0,nan
auto_basis,circle,parallel,delta_linear_only,9,256,40000,4.023817777633667,0.4957312630335921,0.48,0.565,-1,nan,0,nan
auto_basis,circle,parallel,rls_auto_expand,6,256,40000,9.936006307601929,0.5944963694379539,0.65,0.635,679,0.49166666666666664,1,0.6
auto_basis,circle,parallel,rls_auto_expand,7,256,40000,7.327887535095215,0.61258887967639,0.605,0.605,479,0.525,1,0.625
auto_basis,circle,parallel,rls_auto_expand,8,256,40000,9.458868980407715,0.6064533554433305,0.6,0.6,379,0.49166666666666664,1,0.6
auto_basis,circle,parallel,rls_auto_expand,9,256,40000,7.320329904556274,0.6318584960176881,0.67,0.7,419,0.5083333333333333,1,0.7
