arm,seed,feat,stream_ppl,floor_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_gate,runtime_s
Gate-C-topk-softmax,7,gate_c_topk,6.990706099899891,0.0,9.788246832282654,10.992916644501229,0.0,34.00755353107652,0.5628480791153574,0.25,16512,185.86903715133667
Gate-C-topk-softmax,8,gate_c_topk,7.1183989717830265,0.0,11.284658518033734,13.685475313877008,0.0,31.017024090924934,0.5812418692487147,0.25,16512,192.8292396068573
Gate-C-topk-softmax,9,gate_c_topk,6.976118862973836,0.0,9.833783109758539,11.70087956768831,0.0,32.88544310769446,0.5833429032521598,0.25,16512,189.215252161026
Gate-elem-softmax,0,gate_elem,8.60218646170369,0.0,40.23060441997444,45.33060071355976,0.0,20.281574829274682,0.7179307866675748,1.0,256.0,37.456401109695435
Gate-elem-softmax,1,gate_elem,8.028486290557185,0.0,19.33786151660369,21.888331154018793,0.0,19.287722098836,0.71274250719726,1.0,256.0,37.317710399627686
Gate-elem-softmax,2,gate_elem,9.235800919336295,0.0,42.13631196301416,51.13874462992463,0.0,19.391680883542154,0.7278884996558804,1.0,256.0,35.21560597419739
Gate-elem-softmax,3,gate_elem,8.42338165235616,0.0,63.819943394149504,69.3865179134053,0.0,18.920569540435427,0.7194613315698613,1.0,256.0,35.658528566360474
Gate-elem-softmax,4,gate_elem,8.682430822111964,0.0,29.83784503796816,25.93336076757226,0.0,21.04500620703823,0.7264985016475377,1.0,256.0,35.081169843673706
Gate-elem-softmax,5,gate_elem,8.851379295353098,0.0,34.49445689184009,23.07401941638258,0.0,19.63411832413329,0.7149666141104435,1.0,256.0,32.72710299491882
Gate-elem-softmax,6,gate_elem,8.47128945523778,0.0,30.654868620993142,28.01492408927264,0.0,19.02610901787912,0.7199596142864537,1.0,256.0,34.52946591377258
Gate-elem-softmax,7,gate_elem,9.129570215791615,0.0,27.000322560795247,22.518132713176293,0.0,20.054609782775596,0.7267274923137599,1.0,256.0,35.15237331390381
Gate-elem-softmax,8,gate_elem,8.649761955624028,0.0,39.475732774679024,24.066205453763992,0.0,19.305356178207056,0.7196011276437274,1.0,256.0,31.325583696365356
Gate-elem-softmax,9,gate_elem,8.855996055741118,0.0,268.3443331677048,143.9034391366703,0.0,19.650532694763008,0.7194452616819739,1.0,256.0,30.416585206985474
Gate-static-softmax,0,gate_static,8.074750565785234,0.0,23.7496094076352,27.358262608491387,0.0,18.48307493896562,0.741281326692106,1.0,128.0,28.40949583053589
Gate-static-softmax,1,gate_static,7.582850851844081,0.0,14.65197280223246,17.39858718480837,0.0,16.91595362806684,0.7331070476209796,1.0,128.0,38.07039999961853
Gate-static-softmax,2,gate_static,8.612515416929918,0.0,25.31140193371048,31.090853989471853,0.0,18.408531125442646,0.7645277855915797,1.0,128.0,35.36442470550537
Gate-static-softmax,3,gate_static,7.935011392827501,0.0,30.486562195430576,34.481235918406085,0.0,17.1028269735094,0.7480834412977831,1.0,128.0,36.92146706581116
Gate-static-softmax,4,gate_static,8.17548408470266,0.0,18.60825916575083,18.6205280301334,0.0,20.2827412926683,0.7550544514628149,1.0,128.0,30.49573516845703
Gate-static-softmax,5,gate_static,8.215803375669008,0.0,22.242705064929314,17.463289634134043,0.0,18.421440290491503,0.738288151702153,1.0,128.0,31.956196069717407
Gate-static-softmax,6,gate_static,7.953467657293,0.0,18.44875169145056,19.01133522612295,0.0,17.946694183414618,0.749079411625577,1.0,128.0,34.357433795928955
Gate-static-softmax,7,gate_static,8.543517575346245,0.0,19.296465098915906,17.549054213199625,0.0,18.331259672115085,0.7651661686192954,1.0,128.0,31.594874382019043
