task,env,switch_every,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,pre_win,post_win,capacity_probe,n_snaps,n_flips
content_rendering,mixed_AB,200,random_graph_k25,pop_mem,9,256,40000,2.209076166152954,0.9056782492902189,1.0,0.9,0.9,1.0,0.9,0.913,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,0,256,40000,2.0800116062164307,0.9120072359990956,0.92,0.9,0.9,0.92,0.9,0.915,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,1,256,40000,2.4699184894561768,0.9066329991708751,0.91,0.9,0.9,0.91,0.9,0.914,96,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,2,256,40000,2.3243722915649414,0.903866737016658,0.9,0.9,0.9,0.9,0.9,0.879,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,3,256,40000,2.293989896774292,0.9079106052611744,0.9,0.9,0.9,0.9,0.9,0.895,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,4,256,40000,2.229947805404663,0.895377000577875,0.9,0.9,0.9,0.9,0.9,0.906,96,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,5,256,40000,2.1637797355651855,0.9073842365769705,0.9,0.9,0.9,0.9,0.9,0.909,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,6,256,40000,2.087343215942383,0.9007751061531117,0.9,0.9,0.9,0.9,0.9,0.907,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,7,256,40000,2.368471384048462,0.9061016054872993,0.9,0.9,0.9,0.9,0.9,0.759,91,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,8,256,40000,2.0439906120300293,0.9121579859802518,0.9,0.9,0.9,0.9,0.9,0.906,97,-1
content_rendering,mixed_AB,100,random_graph_k25,pop_mem,9,256,40000,1.9774949550628662,0.9071857491017812,1.0,0.9,0.9,1.0,0.9,0.905,97,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,0,256,40000,2.0538394451141357,0.9059772367528455,0.9,0.9,0.975,0.9,0.975,0.91,97,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,1,256,40000,2.253946542739868,0.9208273661465793,0.9,0.995,0.955,0.9,0.955,0.919,97,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,2,256,40000,2.3833043575286865,0.9091191176101102,0.9,0.9,0.9,0.9,0.9,0.912,94,-1
content_rendering,mixed_AB,25,random_graph_k25,pop_mem,3,256,40000,2.083075761795044,0.885927489259064,0.9,0.9,0.9,0.9,0.9,0.872,91,-1
