task,scenario,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,sel_good_frac,n_switches
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,4,256,40000,7.261245012283325,0.6932903695887038,0.68,0.7,0.705,0.693,216
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,4,256,40000,8.184437036514282,0.7003492374563453,0.755,0.7,0.7,0.693,216
multi_source_weak,majority_weak,random_graph_k25,worker_true,3,256,40000,6.008059740066528,0.9279603527549559,1.0,1.0,0.9,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,3,256,40000,6.077275037765503,0.7219378910077636,0.8,0.7,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,3,256,40000,7.27663254737854,0.7423846134519233,0.8,0.8,0.665,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,3,256,40000,7.405802249908447,0.6858320142709983,0.735,0.7,0.7,0.6865,192
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,3,256,40000,8.575100183486938,0.7141466294816713,0.8,0.7,0.64,0.6865,192
multi_source_weak,majority_weak,random_graph_k25,worker_true,6,256,40000,5.691557168960571,0.9444926006884249,0.925,1.0,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,6,256,40000,5.816967248916626,0.7086166176729228,0.71,0.7,0.755,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,6,256,40000,6.999454975128174,0.7540426119946735,0.8,0.785,0.8,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,6,256,40000,7.088055372238159,0.6867817391522826,0.695,0.7,0.7,0.6865,167
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,6,256,40000,8.220033645629883,0.7200949724881285,0.785,0.705,0.8,0.6865,167
multi_source_weak,majority_weak,random_graph_k25,worker_true,7,256,40000,5.486088275909424,0.9445692319288461,1.0,1.0,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,7,256,40000,5.524582386016846,0.7118828672646416,0.7,0.765,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,7,256,40000,6.650534152984619,0.7527386246576719,0.8,0.8,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,7,256,40000,6.720148801803589,0.7033139870857517,0.7,0.7,0.7,0.703,152
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,7,256,40000,8.168953895568848,0.7286399839200021,0.8,0.71,0.7,0.703,152
multi_source_weak,majority_weak,random_graph_k25,worker_true,9,256,40000,5.364309549331665,0.9338182457727191,1.0,0.9,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,9,256,40000,5.40499472618103,0.7287882214014724,0.7,0.7,0.745,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,9,256,40000,6.650041818618774,0.7342918519635185,0.8,0.7,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,9,256,40000,6.724097967147827,0.699595487550564,0.7,0.7,0.7,0.699,159
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,9,256,40000,7.855684518814087,0.7302027587246552,0.8,0.7,0.73,0.699,159
multi_source_weak,majority_weak,random_graph_k25,worker_true,8,256,40000,5.2318713665008545,0.9387641014044873,0.93,1.0,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,8,256,40000,5.365471363067627,0.7235936283007964,0.7,0.7,0.775,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,8,256,40000,6.836894989013672,0.7541380869827391,0.8,0.7,0.8,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,8,256,40000,6.914759397506714,0.7030702746162157,0.7,0.7,0.7,0.7045,173
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,8,256,40000,8.076167583465576,0.7348207331474084,0.8,0.7,0.7,0.7045,173
multi_source_weak,minority_weak,random_graph_k25,worker_true,0,256,40000,5.602126836776733,0.9386397326700335,1.0,1.0,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,0,256,40000,5.6711084842681885,0.556758624155172,0.575,0.59,0.52,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,0,256,40000,6.841556072235107,0.5588163613979548,0.6,0.58,0.5,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,0,256,40000,6.9880616664886475,0.6964875254390592,0.7,0.675,0.7,0.6975,6
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,0,256,40000,8.12279462814331,0.7265583779302027,0.8,0.7,0.7,0.6975,6
multi_source_weak,minority_weak,random_graph_k25,worker_true,1,256,40000,5.651814222335815,0.9392954950880632,1.0,1.0,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,1,256,40000,5.720930099487305,0.5546456119192985,0.595,0.56,0.58,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,1,256,40000,7.095834016799927,0.58540112057486,0.7,0.575,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,1,256,40000,7.16207218170166,0.680648727418909,0.7,0.7,0.7,0.68,11
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,1,256,40000,8.2819185256958,0.7134431295696088,0.83,0.76,0.73,0.68,11
multi_source_weak,minority_weak,random_graph_k25,worker_true,3,256,40000,5.490644454956055,0.9279603527549559,1.0,1.0,0.9,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,3,256,40000,5.615403175354004,0.586686264164217,0.6,0.6,0.57,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,3,256,40000,6.651134729385376,0.5863320017084999,0.615,0.6,0.565,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,3,256,40000,6.711300849914551,0.7001482374814703,0.715,0.7,0.7,0.6995,13
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,3,256,40000,7.736590623855591,0.7269314841335645,0.8,0.7,0.7,0.6995,13
multi_source_weak,minority_weak,random_graph_k25,worker_true,2,256,40000,6.043978929519653,0.9302241149719855,0.9,0.905,0.925,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,2,256,40000,6.128340005874634,0.5726187784226527,0.585,0.5,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,2,256,40000,6.944003582000732,0.5716351347956082,0.5,0.5,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,2,256,40000,7.037593603134155,0.7004786311901711,0.7,0.7,0.76,0.7005,9
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,2,256,40000,8.028830766677856,0.7024308434461446,0.7,0.7,0.7,0.7005,9
multi_source_weak,all_weak,parallel,worker_true,0,256,40000,1.9987218379974365,0.9187884726514408,1.0,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,0,256,40000,2.065131187438965,0.8218298535212684,0.825,0.8,0.8,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,0,256,40000,3.0361227989196777,0.8650209793723775,0.9,0.9,0.875,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,0,256,40000,3.0721347332000732,0.6907062636617172,0.67,0.645,0.7,0.691,215
multi_source_weak,all_weak,parallel,worker_emasel,0,256,40000,4.1386191844940186,0.7816059897992512,0.8,0.8,0.8,0.691,215
multi_source_weak,all_weak,parallel,worker_true,1,256,40000,2.0441973209381104,0.9095449863068767,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,vote_pure,1,256,40000,2.1034955978393555,0.837690007788749,0.9,0.9,0.8474999999999999,0.0,0
multi_source_weak,all_weak,parallel,worker_majority,1,256,40000,3.0493128299713135,0.8733649908293762,0.9,0.9,0.9,0.0,0
multi_source_weak,all_weak,parallel,emasel_pure,1,256,40000,3.1456854343414307,0.6913544885806889,0.7,0.7,0.7,0.691,212
multi_source_weak,all_weak,parallel,worker_emasel,1,256,40000,4.520518064498901,0.7877126202859225,0.885,0.8,0.8,0.691,212
multi_source_weak,minority_weak,random_graph_k25,worker_true,4,256,40000,5.593624830245972,0.932059495992563,0.9,0.9,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,4,256,40000,5.635851144790649,0.5799477400065325,0.585,0.6,0.605,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,4,256,40000,6.957797527313232,0.6080663802417025,0.6,0.6,0.66,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,4,256,40000,7.056913375854492,0.7064319991960001,0.7,0.76,0.78,0.7065,12
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,4,256,40000,8.52002477645874,0.7425856134267984,0.8,0.7,0.8,0.7065,12
multi_source_weak,minority_weak,random_graph_k25,worker_true,5,256,40000,5.876602411270142,0.947309112836361,1.0,0.965,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,5,256,40000,5.942860126495361,0.5853797643275294,0.555,0.6,0.62,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,5,256,40000,6.906447410583496,0.6046996306625462,0.6,0.6,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,5,256,40000,6.980647325515747,0.6868345016456873,0.685,0.7,0.7,0.687,22
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,5,256,40000,7.914706230163574,0.7068101303987337,0.77,0.7,0.7,0.687,22
multi_source_weak,minority_weak,random_graph_k25,worker_true,6,256,40000,5.754493236541748,0.9444926006884249,0.925,1.0,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,6,256,40000,5.779854774475098,0.5608263611467048,0.6,0.58,0.515,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,6,256,40000,7.0346903800964355,0.5929147508856561,0.655,0.595,0.56,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,6,256,40000,7.207702159881592,0.67522424059697,0.7,0.7,0.7,0.675,11
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,6,256,40000,8.634057521820068,0.709817592522801,0.8,0.765,0.7,0.675,11
multi_source_weak,minority_weak,random_graph_k25,worker_true,7,256,40000,6.348691463470459,0.9445692319288461,1.0,1.0,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,7,256,40000,6.40731406211853,0.5652508730936409,0.6,0.57,0.505,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,7,256,40000,7.319198846817017,0.5999547750056531,0.7,0.605,0.58,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,7,256,40000,7.468121767044067,0.7203248662093917,0.7,0.715,0.735,0.72,8
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,7,256,40000,8.551844120025635,0.7396711137911108,0.8,0.775,0.7,0.72,8
multi_source_weak,minority_weak,random_graph_k25,worker_true,9,256,40000,5.445048809051514,0.9338182457727191,1.0,0.9,1.0,0.0,0
multi_source_weak,minority_weak,random_graph_k25,vote_pure,9,256,40000,5.486187696456909,0.5798233712720786,0.5,0.6,0.61,0.0,0
multi_source_weak,minority_weak,random_graph_k25,worker_majority,9,256,40000,6.783190488815308,0.5686703851662019,0.6,0.59,0.6,0.0,0
multi_source_weak,minority_weak,random_graph_k25,emasel_pure,9,256,40000,6.838359355926514,0.7171829853521269,0.72,0.735,0.735,0.7165,5
multi_source_weak,minority_weak,random_graph_k25,worker_emasel,9,256,40000,8.024988412857056,0.729121127609859,0.785,0.75,0.73,0.7165,5
multi_source_weak,minority_weak,random_graph_k25,worker_true,8,256,40000,5.8471338748931885,0.9387641014044873,0.93,1.0,1.0,0.0,0
