part,disturb,kappa,arm,seed_idx,mc_heldout,proxy_mean,pre_nmse,post_nmse,final_nmse,recovery_pulses,kappa_settled,mc_at_nominal,mc_at_settled,runtime_s
2,none,,fixed,7,,,0.006478601677334161,0.0021877738747865076,0.002236247379208751,3496.0,25.0,16.26273389208806,16.26273389208806,71.24499917030334
2,none,,fixed,2,,,0.005271452283185271,0.001976890883965383,0.002174539054256575,3180.0,25.0,16.94259107268941,16.94259107268941,73.59084439277649
2,none,,fixed,3,,,0.005618253814982266,0.0012885038069664824,0.001384557688083509,3571.0,25.0,13.301877873044774,13.301877873044774,66.76695227622986
2,none,,regulated,2,,,0.004870593644535712,0.0025463349712250925,0.0030355614696021753,2029.0,25.73673255873406,16.94259107268941,17.842382265311606,67.44072532653809
2,none,,regulated,3,,,0.005285852134832822,0.002929078168372444,0.004050724380480153,519.0,26.01403800986342,13.301877873044774,13.251219250574158,72.12870669364929
2,tau_drift,,fixed,2,,,0.005271452283185271,0.0014640583646053065,0.001056034649330639,3596.0,25.0,13.177322876924801,13.177322876924801,68.67607545852661
2,tau_drift,,fixed,3,,,0.005618253814982266,0.0013787739722449382,0.0009209259943001542,4285.0,25.0,11.690577024912784,11.690577024912784,69.40894484519958
2,none,,regulated,0,,,0.0068025414311779315,0.0028394648318406887,0.004161319444415308,628.0,26.16167120320115,15.378069872481724,16.797588467667513,68.28222465515137
2,none,,regulated,1,,,0.006590556494520345,0.003962515205608128,0.006039455505811246,472.0,26.175190976721332,14.520375647005224,16.43660798304621,72.28249430656433
2,tau_drift,,fixed,6,,,0.006618008174497729,0.0022097096547217736,0.0010850262194848945,4453.0,25.0,14.449991344187401,14.449991344187401,66.48875093460083
2,tau_drift,,fixed,7,,,0.006478601677334161,0.0016712203582999843,0.0013456312417979746,4141.0,25.0,12.808664813767434,12.808664813767434,76.05123662948608
2,none,,regulated,8,,,0.005979828005259621,0.0024032347102918043,0.0037947264283432337,880.0,25.788255297115946,14.894095432462196,10.479556246861815,71.95403504371643
2,none,,regulated,9,,,0.005312850870568093,0.002927358752650572,0.004374310601193319,510.0,25.965846348588247,8.689298666313169,15.776439065234955,72.73469972610474
2,none,,regulated,4,,,0.00632917936515989,0.002725802392082897,0.0037377315290359862,627.0,26.143276243052895,16.333215055091205,17.460859090560476,71.15829706192017
2,none,,regulated,5,,,0.006790961270146524,0.003325782943168339,0.004614440168337209,612.0,26.109719804389712,15.918027178774619,17.14513318844455,74.51039505004883
2,none,,fixed,4,,,0.005445899156905515,0.0015495486763416196,0.0015729382170843976,3572.0,25.0,16.333215055091205,16.333215055091205,73.45652961730957
2,none,,fixed,5,,,0.005222628721573589,0.0017134316411215632,0.0019300598807128917,3184.0,25.0,15.918027178774619,15.918027178774619,73.04022026062012
2,tau_drift,,fixed,8,,,0.005852420141402949,0.0011890667762879047,0.000950354378552988,4285.0,25.0,10.867186592242854,10.867186592242854,76.32580375671387
2,tau_drift,,fixed,9,,,0.004799299054870662,0.001473980580326583,0.0008613351449003677,4295.0,25.0,12.637708190418943,12.637708190418943,70.6566514968872
2,none,,regulated,6,,,0.006258102330958716,0.0034857325698095633,0.00425436113138586,610.0,25.95128987855511,16.456459153705215,18.203762907481796,70.3035078048706
2,none,,regulated,7,,,0.0069937704629529475,0.0038680034520408384,0.005565080323036089,632.0,26.196434841463425,16.26273389208806,16.672900473587028,78.63683819770813
2,tau_drift,,regulated,0,,,0.0068025414311779315,0.002350524741358211,0.0023931732150725645,3247.0,27.140956637475576,13.953197656939063,16.009709855169856,77.88449454307556
2,tau_drift,,regulated,1,,,0.006590556494520345,0.0026396294580694735,0.0030885181325957193,3187.0,27.04892062517135,12.068137759473828,14.353233531215256,71.18841624259949
2,edge_prune,,fixed,0,,,0.00593173408471479,0.0013521421338823821,0.0011216156841639296,3769.0,25.0,12.883947688983929,12.883947688983929,57.93314242362976
2,edge_prune,,fixed,1,,,0.005792986200360928,0.001874508851358977,0.0010914031101146038,4308.0,25.0,17.97543766587491,17.97543766587491,64.8142192363739
2,tau_drift,,regulated,2,,,0.004870593644535712,0.003262945879224252,0.0031119435752271335,3184.0,27.202796494714086,13.177322876924801,15.425981295843483,75.83602738380432
2,tau_drift,,regulated,3,,,0.005285852134832822,0.002609986746669661,0.0026317633223210367,3229.0,27.148298267902945,11.690577024912784,9.678538669025652,66.99563837051392
2,edge_prune,,fixed,4,,,0.005445899156905515,0.002861163219972559,0.0020503856979232214,4287.0,25.0,17.303248652564356,17.303248652564356,68.96422171592712
2,edge_prune,,fixed,5,,,0.005222628721573589,0.001637279949880631,0.0011772644195751946,4242.0,25.0,15.776386121918353,15.776386121918353,64.95084500312805
2,edge_prune,,regulated,2,,,0.004870593644535712,0.0038237915568093126,0.0034033191012034594,4291.0,26.21226260584709,17.56406873882567,17.676880204096417,66.15777516365051
2,edge_prune,,regulated,3,,,0.005285852134832822,0.0035081859776984383,0.004209194436880858,3170.0,26.2800905266765,17.881433825528884,17.88037295806563,64.99253058433533
2,edge_prune,,regulated,4,,,0.00632917936515989,0.005839335540510731,0.005753637323849763,3573.0,26.440803746792458,17.303248652564356,17.664187584717954,63.311060190200806
2,edge_prune,,regulated,5,,,0.006790961270146524,0.0036705986788102126,0.004089583673684639,2034.0,26.336792324636196,15.776386121918353,18.618605428020423,69.02629709243774
