task,substrate,readout,margin,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,post_swap_late_acc,mean_acc_all,n_flips,first_flip_block,flip_latency_blocks
drift_binary,random_graph_k25,passive_flip,0.2,2,256,40000,6.8645100593566895,0.93,0.9325000000000001,0.95,0.9215695585538052,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,3,256,40000,4.587204694747925,0.93,0.945,0.93,0.9199165850104268,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.3,0,256,40000,6.321551561355591,0.945,0.96,0.94,0.9161740911032387,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,1,256,40000,4.388146877288818,0.93,0.945,0.925,0.9129410065073741,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.2,6,256,40000,6.594345331192017,0.93,0.945,0.945,0.9204846611894173,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,7,256,40000,4.53881049156189,0.945,0.93,0.93,0.9193143388357078,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,8,256,40000,6.669528961181641,0.945,0.945,0.945,0.9187187507851562,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,9,256,40000,4.497696399688721,0.95,0.93,0.945,0.9184416220697973,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.3,2,256,40000,6.029532432556152,0.93,0.9325000000000001,0.95,0.9132280595964926,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,3,256,40000,4.335474967956543,0.93,0.945,0.93,0.9113740860782392,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,4,256,40000,6.099531888961792,0.93,0.93,0.925,0.9117030979121128,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,5,256,40000,4.282901287078857,0.93,0.925,0.93,0.9118404060199492,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,6,256,40000,5.374504327774048,0.93,0.945,0.945,0.9116406622949171,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,7,256,40000,3.4403257369995117,0.945,0.93,0.93,0.9109728398783952,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,8,256,40000,5.381948471069336,0.945,0.945,0.945,0.9099250018843749,1,1059,59
drift_binary,random_graph_k25,passive_flip,0.3,9,256,40000,3.4671835899353027,0.95,0.93,0.945,0.9098991231376097,1,1059,59
