task,substrate,readout,seg_len,seed_idx,n_units,t_total,runtime_s,mean_acc_all,switch_block,detect_delta,n_expansions,best_delta,win_mean,hard_frac,seg1_acc,seg2_acc,seg3_acc,seg4_acc
adaptive_window,random_graph_k25,rls_auto,500,3,256,40000,17.02100920677185,0.8319853772518279,-1,nan,0,0.2416666666666667,240.0,0.0,0.98,0.8,0.9,0.7625
adaptive_window,random_graph_k25,rls_auto_adapt,500,0,256,40000,15.1236252784729,0.8305545086806863,-1,nan,0,0.1333333333333333,209.7764705882353,0.21588235294117647,1.0,0.8,0.9,0.735
adaptive_window,random_graph_k25,rls_auto_adapt,500,1,256,40000,16.03205680847168,0.8424612446923445,-1,nan,0,0.15999999999999992,219.90588235294118,0.14352941176470588,1.0,0.9,0.9,0.7
adaptive_window,random_graph_k25,rls_auto_adapt,500,8,256,40000,15.592749118804932,0.8470365066204365,-1,nan,0,0.14,219.65882352941176,0.14529411764705882,1.0,0.8,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,500,9,256,40000,14.95124340057373,0.8403482324564708,-1,nan,0,0.18000000000000005,214.38823529411764,0.18294117647058825,1.0,0.8,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,500,2,256,40000,17.18170428276062,0.841958744755157,-1,nan,0,0.16666666666666663,240.0,0.0,0.92,0.865,0.9,0.74
adaptive_window,random_graph_k25,rls_auto_adapt,500,3,256,40000,15.650151252746582,0.8283648652043919,1959,0.1333333333333333,1,0.2416666666666667,219.41176470588235,0.14705882352941177,0.98,0.8,0.9,0.725
adaptive_window,random_graph_k25,pop_auto,500,6,256,40000,16.82878088951111,0.9023881309514835,-1,nan,0,0.10000000000000009,240.0,0.0,1.0,0.9,0.935,0.9
adaptive_window,random_graph_k25,pop_auto,500,7,256,40000,16.874621152877808,0.8776626215421722,-1,nan,0,0.09166666666666667,240.0,0.0,1.0,0.89,0.9,0.845
adaptive_window,random_graph_k25,rls_auto_adapt,500,4,256,40000,17.323742628097534,0.8561794929775635,-1,nan,0,0.1166666666666667,240.0,0.0,0.9,0.9,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,500,5,256,40000,15.72998332977295,0.8425642571794679,-1,nan,0,0.18000000000000005,217.51764705882354,0.16058823529411764,1.0,0.875,0.9,0.8
adaptive_window,random_graph_k25,pop_auto,500,8,256,40000,17.407254219055176,0.8922615009673124,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto,500,9,256,40000,17.484060525894165,0.8850707268661591,-1,nan,0,0.15833333333333333,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,rls_auto_adapt,500,6,256,40000,17.328730583190918,0.8500012562498428,-1,nan,0,0.10000000000000009,240.0,0.0,0.965,0.9,0.9,0.8
adaptive_window,random_graph_k25,rls_auto_adapt,500,7,256,40000,17.383989810943604,0.8369601266299841,-1,nan,0,0.09166666666666667,240.0,0.0,0.92,0.8,0.9,0.72
adaptive_window,random_graph_k25,pop_auto_adapt,500,0,256,40000,16.845060110092163,0.8788208838973894,-1,nan,0,0.15000000000000002,240.0,0.0,1.0,0.83,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,1,256,40000,17.376274347305298,0.8833672520790935,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.9,0.9,0.81
adaptive_window,parallel,rls_auto,500,0,256,40000,7.149867296218872,0.7587133489108314,779,0.1333333333333333,1,0.18333333333333335,240.0,0.0,0.9,0.6,0.9,0.6
adaptive_window,parallel,rls_auto,500,1,256,40000,6.86125922203064,0.7594959925630009,759,0.1333333333333333,1,0.1416666666666666,240.0,0.0,0.9,0.565,0.9,0.6875
adaptive_window,parallel,rls_auto,500,2,256,40000,8.864495992660522,0.7388934951383131,999,0.14999999999999997,1,0.20833333333333337,240.0,0.0,0.9,0.5,0.9125000000000001,0.68
adaptive_window,parallel,rls_auto,500,3,256,40000,7.419360399246216,0.7216100097987489,859,0.20000000000000007,1,0.20000000000000007,240.0,0.0,0.9,0.5,0.9,0.625
adaptive_window,parallel,rls_auto,500,4,256,40000,14.203476905822754,0.7204492349438457,-1,nan,0,0.15833333333333333,240.0,0.0,0.9,0.55,0.9,0.52
adaptive_window,parallel,rls_auto,500,5,256,40000,7.022290945053101,0.7341411019823623,779,0.17500000000000004,1,0.17500000000000004,240.0,0.0,0.9,0.565,0.9,0.6
adaptive_window,parallel,rls_auto,500,6,256,40000,12.837761402130127,0.7269842466269691,1799,0.17499999999999993,1,0.17499999999999993,240.0,0.0,0.9,0.5,0.9,0.6
adaptive_window,parallel,rls_auto,500,7,256,40000,11.648645639419556,0.7163840104519987,1739,0.17499999999999993,1,0.19999999999999996,240.0,0.0,0.9,0.5,0.9,0.58
adaptive_window,parallel,rls_auto,500,8,256,40000,6.1997926235198975,0.7505012436873445,739,0.17500000000000004,1,0.18333333333333335,240.0,0.0,0.9,0.58,0.9,0.6
adaptive_window,parallel,rls_auto,500,9,256,40000,7.803372144699097,0.7452966005879249,879,0.25,1,0.25,240.0,0.0,0.9,0.6,0.9,0.6
adaptive_window,parallel,pop_auto,500,0,256,40000,7.0573859214782715,0.7752958468380192,779,0.1333333333333333,1,0.18333333333333335,240.0,0.0,0.925,0.61,0.9,0.61
adaptive_window,parallel,pop_auto,500,1,256,40000,7.050196886062622,0.7911534886058139,759,0.1333333333333333,1,0.1416666666666666,240.0,0.0,0.96,0.6,1.0,0.7
adaptive_window,random_graph_k25,pop_auto_adapt,500,2,256,40000,18.15068006515503,0.880373608703299,-1,nan,0,0.16666666666666663,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,3,256,40000,17.73020601272583,0.8641453732318283,-1,nan,0,0.2416666666666667,240.0,0.0,1.0,0.805,0.9,0.8174999999999999
adaptive_window,random_graph_k25,pop_auto_adapt,500,4,256,40000,17.81578516960144,0.888416120197985,-1,nan,0,0.1166666666666667,240.0,0.0,0.99,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,5,256,40000,18.00627636909485,0.8973367503329063,-1,nan,0,0.1166666666666667,240.0,0.0,1.0,0.9,0.9,0.9
adaptive_window,random_graph_k25,pop_auto_adapt,500,8,256,40000,17.907721757888794,0.8922615009673124,-1,nan,0,0.07500000000000007,240.0,0.0,1.0,0.9,0.9,0.9
