arm,seed,host_policy,use_topk,readout_map,stream_ppl,clip_frac,neg_frac,floor_frac,forgetting_ppl,forgetting_ppl_med,oracle_ppl,n_params_readout,n_params_gate,n_params_host,pretrain_end_tokens,runtime_s
X67-pretrained-frozen,2,pretrained_frozen,0,softmax_sgd,9.609048911865422,0.0,0.0,0.00022223456858714373,63.02375675561946,89.23040317120181,22.76229190451338,8224,0,24864,3000,141.71398282051086
X67-pretrained-frozen,3,pretrained_frozen,0,softmax_sgd,9.505299265284537,0.0,0.0,0.0,88.533068737961,95.57028266241318,26.09456743805988,8224,0,24864,3000,132.4981393814087
X67-pretrained-frozen,4,pretrained_frozen,0,softmax_sgd,9.137646861885425,0.0,0.0,0.0,105.13140682032933,111.95445445069404,23.925972221430147,8224,0,24864,3000,119.15026187896729
X67-pretrained-frozen,5,pretrained_frozen,0,softmax_sgd,9.982342246063858,0.0,0.0,0.0002777932107339297,88.6170090134024,94.34213916742493,22.79644565992733,8224,0,24864,3000,127.14516353607178
X67-pretrained-frozen,6,pretrained_frozen,0,softmax_sgd,9.181674746682019,0.0,0.0,0.0,63.96268545090146,81.02161326734148,23.121169115410414,8224,0,24864,3000,119.27333688735962
X67-pretrained-frozen,7,pretrained_frozen,0,softmax_sgd,9.378858062794615,0.0,0.0,0.0,96.46280138126993,99.34996147807216,24.036908864716747,8224,0,24864,3000,108.02280163764954
X67-pretrained-frozen,8,pretrained_frozen,0,softmax_sgd,9.8483869003792,0.0,0.0,0.0,115.87784413085998,135.21458187077863,23.372540203075776,8224,0,24864,3000,168.15757393836975
X67-pretrained-frozen,9,pretrained_frozen,0,softmax_sgd,9.443918895391334,0.0,0.0,5.555864214678593e-05,107.87714402869065,82.95550634458831,26.445131866078302,8224,0,24864,3000,136.52562737464905
X67-pretrained-frozen-topk,0,pretrained_frozen,1,softmax_sgd,7.086444756897623,0.0,0.0,0.0,17.362371298371947,24.039686329656018,34.27920609052664,8224,16512,24864,3000,149.2415840625763
X67-pretrained-frozen-topk,1,pretrained_frozen,1,softmax_sgd,6.90622240319188,0.0,0.0,0.0,15.074225481905557,19.87789460485028,30.034004466103237,8224,16512,24864,3000,145.38124251365662
X67-pretrained-frozen-topk,2,pretrained_frozen,1,softmax_sgd,7.00914673852677,0.0,0.0,0.0,12.884383348358657,14.733410166141152,31.84885220568068,8224,16512,24864,3000,201.54048657417297
X67-pretrained-frozen-topk,3,pretrained_frozen,1,softmax_sgd,7.048176018361714,0.0,0.0,0.0,12.012135892529445,12.892229800637217,35.54181023888342,8224,16512,24864,3000,185.98894691467285
X67-pretrained-frozen-topk,4,pretrained_frozen,1,softmax_sgd,7.156545611353611,0.0,0.0,0.0,12.254612733909628,14.819981815536893,29.03616748198934,8224,16512,24864,3000,201.0695195198059
X67-pretrained-frozen-topk,5,pretrained_frozen,1,softmax_sgd,7.23896153718944,0.0,0.0,0.0,14.818847800638626,18.265846468467902,30.920087157798996,8224,16512,24864,3000,196.87835907936096
X67-pretrained-frozen-topk,6,pretrained_frozen,1,softmax_sgd,7.085095476936805,0.0,0.0,0.0,20.645362554057673,28.49803185384121,32.88308625884086,8224,16512,24864,3000,177.55277562141418
X67-pretrained-frozen-topk,7,pretrained_frozen,1,softmax_sgd,7.610205748006523,0.0,0.0,0.0,14.532023724237408,16.489858015222506,34.7246941713889,8224,16512,24864,3000,211.0586314201355
X67-pretrained-frozen-topk,8,pretrained_frozen,1,softmax_sgd,7.290657240292979,0.0,0.0,0.0,14.725096491051058,18.420395647685737,31.048901016588893,8224,16512,24864,3000,183.2601490020752
X67-pretrained-frozen-topk,9,pretrained_frozen,1,softmax_sgd,7.342573739533678,0.0,0.0,0.0,15.466203423331288,19.177501876619907,31.964842218635773,8224,16512,24864,3000,192.3617548942566
X67-random-frozen,0,random_frozen,0,softmax_sgd,9.080216222473728,0.0,0.0,0.0,10.364145982124032,12.471925971097123,23.74696042580877,8224,0,24864,0,82.00542068481445
