arm,seed,n_res,spectral_radius,leak,stream_ppl,neg_frac,clip_frac,t_adapt_mean,forgetting_ppl,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
ESN-128-sr1.0,7,128,1.0,0.5,94.8429021629479,0.11018137211951283,0.11018137211951283,20.0,88.71255166206807,5.443585439333037,2515,0.10077297452046952,0.10077297452046952,6.214095866000746,352,8.263941526412964
ESN-128-sr1.0,8,128,1.0,0.5,101.99701246361055,0.11333722092635788,0.11333722092635788,20.0,97.45937813366132,5.387800390128469,2721,0.10220440881763528,0.10220440881763528,6.799509096250823,357,8.618098020553589
ESN-128-sr1.0,9,128,1.0,0.5,95.96218705024343,0.11059177369533409,0.11059177369533409,20.0,99.31731010571298,5.450261181393675,2721,0.0990552533638706,0.0990552533638706,6.729548941027724,346,8.130881309509277
ESN-256,0,256,0.9,0.5,99.86149484397296,0.11694238448374215,0.11694238448374215,20.0,73.47407120586992,4.731378611342123,2665,0.10134554823933581,0.10134554823933581,5.218520287050033,354,27.707444190979004
ESN-256,1,256,0.9,0.5,96.7411246438983,0.11708811057012722,0.11708811057012722,20.0,89.0091038090073,4.544846760753219,2982,0.1056398511308331,0.1056398511308331,5.360542801359379,369,32.15765190124512
ESN-256,2,256,0.9,0.5,104.52749469324466,0.12031574926792005,0.12031574926792005,20.0,86.7188646330545,4.509178704132467,2835,0.10735757228743201,0.10735757228743201,5.1902428753567085,375,29.685479879379272
ESN-256,3,256,0.9,0.5,99.07578830944608,0.11662717219589258,0.11662717219589258,20.0,93.66658457591588,4.733183672434198,2953,0.10821643286573146,0.10821643286573146,5.558056120876318,378,30.701584339141846
ESN-256,4,256,0.9,0.5,95.90532084251285,0.11608133086876156,0.11608133086876156,20.0,83.48621139450414,4.636217165282793,2826,0.10277698253650157,0.10277698253650157,5.419760632946651,359,30.413175106048584
ESN-256,5,256,0.9,0.5,99.92278236900654,0.117449803353343,0.117449803353343,20.0,100.10903362490026,4.664253175700241,2837,0.11136558831949614,0.11136558831949614,5.281532735780677,389,31.188764810562134
ESN-256,6,256,0.9,0.5,94.25113202817344,0.11648855586946731,0.11648855586946731,20.0,92.29364408888274,4.491565877540545,2845,0.10878900658459777,0.10878900658459777,5.217585504329722,380,30.80231499671936
ESN-256,7,256,0.9,0.5,97.70546558085003,0.11684044510645755,0.11684044510645755,20.0,72.97039295812776,4.629959538292354,2667,0.10020040080160321,0.10020040080160321,5.189340328028865,350,28.043583869934082
ESN-256,8,256,0.9,0.5,98.67975079372579,0.11679440186604466,0.11679440186604466,20.0,92.97926594328864,4.688512001386287,2804,0.10850271972516462,0.10850271972516462,5.516055787409593,379,30.961091995239258
ESN-256,9,256,0.9,0.5,84.35757256688505,0.1117704438302715,0.1117704438302715,20.0,93.5674481651004,4.554574664766033,2750,0.10850271972516462,0.10850271972516462,5.396821467638834,379,30.088995456695557
