noise_std,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,runtime_s
0.05,7,0.07317658532548335,0.004374021880519367,0.0019415457444677004,0.10273193959596491,26.40800152573536,26.72905843037704,27.594542749716425,11.011729164930104,7.537327969119205,7.5967818784653,8.265424692649647,41.002650022506714
0.05,6,0.061751141611157495,0.004712376415785002,0.0028278705360763085,0.11734355026952092,26.020690012605783,26.78604245888047,28.263247000789608,11.731134407901376,7.475623897272841,3.698237036938638,8.155395717122614,41.66493892669678
0.05,9,0.058668387209906456,0.003497236952990205,0.0025993877713654107,0.10156816051683451,25.935027000950328,27.290667103973494,28.548843245452844,11.276506299467771,6.773312470011975,8.48216636328955,8.292325133434497,40.110618114471436
0.05,8,0.07007867861849848,0.004558312284588079,0.002974374281230261,0.10415795388789581,26.571332964631505,27.743781316935056,29.214725991614145,10.841818126655863,7.036555011279144,8.304006662711716,5.993398590342762,40.74985146522522
0.1,1,0.06125505893158034,0.005147647192942139,0.003132369432834339,0.10350249550527929,25.59415804987418,26.43859649797254,27.441715147296538,11.279011518192528,6.933610649216899,7.359018142350694,8.085839280568809,41.07999849319458
0.1,0,0.08138161092530755,0.008649581121326327,0.005247781155709075,0.11151244567388313,26.287103100273924,28.07928804482174,29.50884289468641,10.015411149960917,7.239986873821231,8.20922139786219,9.575872126534186,41.78273868560791
0.1,6,0.06770502126474622,0.0072735182457558355,0.0026506588828378013,0.11679938885705066,26.073553528074125,26.495239098773585,28.263489560463505,11.731134407901376,7.478698910128492,5.356985398441244,8.155459443867993,39.76439070701599
0.1,5,0.059312483797819955,0.004186937637138119,0.007255545876744272,0.10815048607533795,26.067569096584833,27.457405088276357,28.766378584664032,11.338746487297865,7.232539577509044,8.165142194994935,7.854346145253504,39.82600784301758
0.1,2,0.06514007188440835,0.0038799359445146463,0.004273970581672718,0.11515982992156112,27.130650443782027,28.528143474677957,29.827099419565002,2.0036963021985708,7.669147531416923,8.392481751025006,9.194290262727984,42.03746223449707
0.1,3,0.06256317196858265,0.0036974817896084275,0.005168216620290344,0.11064499084076777,26.251025804698997,27.18321439980785,27.493204690092046,11.014032449545763,7.004074541358105,7.269305485104416,7.856942098161387,41.25230622291565
0.1,4,0.0759955500635003,0.005389888679289464,0.011743020839879832,0.10441635384618204,26.924013558867358,28.76662912991377,30.100432118006342,11.385030386367657,7.262561395183753,8.571738285906985,7.475441012447018,41.486777782440186
