task,system,seed_idx,n_units,t_total,pre_swap_acc,post_swap_acc,mean_acc,nmse_final30,runtime_s
mackey_glass,redem,3,256,21000,,,,0.0013262397730142647,11.10886025428772
mackey_glass,esn,2,256,21000,,,,3.618771499650231e-05,11.761572360992432
mackey_glass,esn,3,256,21000,,,,3.972936050571839e-05,14.438728094100952
mackey_glass,redem,4,256,21000,,,,0.0015721603998570671,12.520808935165405
mackey_glass,redem,5,256,21000,,,,0.0017207728081749826,12.008002281188965
mackey_glass,esn,4,256,21000,,,,3.142899389583454e-05,14.180315256118774
mackey_glass,esn,5,256,21000,,,,4.1736861529803764e-05,12.70691990852356
mackey_glass,redem,6,256,21000,,,,0.002624836308167765,11.504830837249756
mackey_glass,esn,6,256,21000,,,,3.5832498137722896e-05,11.953858137130737
drift_binary,gru,5,256,40000,0.94,0.06,0.3620298484962689,,289.13868522644043
drift_binary,gru,7,256,40000,0.955,0.055,0.3656668174166478,,282.84731006622314
mackey_glass,redem,7,256,21000,,,,0.0019174097035783255,9.647359848022461
mackey_glass,esn,7,256,21000,,,,3.1403630047203744e-05,10.388297319412231
drift_binary,gru,6,256,40000,0.96,0.035,0.3623122534609684,,288.9275505542755
drift_binary,gru,8,256,40000,0.6,0.43,0.48658325167709354,,282.1219756603241
mackey_glass,redem,8,256,21000,,,,0.0018743194451734614,9.470483303070068
mackey_glass,esn,8,256,21000,,,,4.17440229731998e-05,12.275693893432617
mackey_glass,redem,9,256,21000,,,,0.0015014216160267604,12.517963886260986
mackey_glass,esn,9,256,21000,,,,3.63335653207865e-05,16.79920506477356
drift_binary,gru,9,256,40000,0.95,0.07,0.37403934574508174,,270.5245451927185
mackey_glass,trans,0,256,21000,,,,0.24518005294760847,50.818214893341064
mackey_glass,trans,1,256,21000,,,,0.5394886395361284,50.55445146560669
mackey_glass,gru,0,256,21000,,,,0.9822288006344408,120.57861328125
mackey_glass,trans,2,256,21000,,,,0.9511416645936014,50.5369713306427
mackey_glass,trans,3,256,21000,,,,0.7802871441647908,50.19543814659119
mackey_glass,trans,4,256,21000,,,,0.9610331207607283,49.03446626663208
mackey_glass,trans,5,256,21000,,,,0.9610331207607283,48.401845932006836
mackey_glass,gru,1,256,21000,,,,0.766899851318571,115.94809532165527
mackey_glass,gru,2,256,21000,,,,3.4337104707543693,114.96160364151001
mackey_glass,gru,3,256,21000,,,,1.5991677156362776,114.58890438079834
mackey_glass,trans,6,256,21000,,,,0.9245731392033982,34.823224782943726
mackey_glass,gru,4,256,21000,,,,0.9822288006344408,112.49615263938904
mackey_glass,trans,7,256,21000,,,,0.5394886395361284,32.657395124435425
mackey_glass,trans,8,256,21000,,,,0.9245731392033982,32.44337248802185
mackey_glass,trans,9,256,21000,,,,0.2623099014625117,29.305021286010742
mackey_glass,gru,5,256,21000,,,,1.9375956425953664,111.28094530105591
mackey_glass,gru,6,256,21000,,,,1.0829857853071703,102.59788084030151
mackey_glass,gru,7,256,21000,,,,1.7935316972407342,97.87339925765991
mackey_glass,gru,8,256,21000,,,,1.9375956425953664,94.43840503692627
mackey_glass,gru,9,256,21000,,,,1.0829857853071703,90.74070286750793
