task,env,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,post_rot_acc,steady_acc,gain_mean,gain_max
rotation2d,R2D_rot180,random_graph_k25,delta_base,5,256,40000,7.028570890426636,0.7646290294213713,0.815,0.645,0.795,0.82,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,8,256,40000,6.0971739292144775,0.7598728675158916,0.81,0.59,0.805,0.845,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,9,256,40000,8.239325284957886,0.7527298309087712,0.79,0.595,0.755,0.81,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_boost,0,256,40000,7.338484764099121,0.7541596944800382,0.8,0.59,0.795,0.79,2.216300615670734,9.98340908704
rotation2d,R2D_rot180,random_graph_k25,delta_boost,1,256,40000,7.587303876876831,0.756370191703726,0.815,0.47,0.82,0.81,2.434579070209879,9.98224055033535
rotation2d,R2D_rot180,random_graph_k25,delta_base,6,256,40000,7.379483461380005,0.7558832692645913,0.79,0.51,0.805,0.82,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_base,7,256,40000,7.857106447219849,0.7629251777593528,0.81,0.605,0.78,0.78,0.0,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_boost,2,256,40000,6.405900239944458,0.759144368231954,0.81,0.605,0.805,0.81,2.3759768027708255,9.99522559158137
rotation2d,R2D_rot180,random_graph_k25,delta_boost,3,256,40000,8.118725538253784,0.7527058365367705,0.81,0.645,0.76,0.78,2.2817818917623067,9.98550407661079
rotation2d,R2D_rot180,random_graph_k25,delta_boost,6,256,40000,8.035926580429077,0.7464515966935503,0.795,0.48,0.795,0.835,2.663502781681887,9.988413655408102
rotation2d,R2D_rot180,random_graph_k25,delta_boost,7,256,40000,5.928577184677124,0.7480317077460366,0.815,0.475,0.8,0.79,2.4801576356961923,9.998604818657375
rotation2d,R2D_rot180,random_graph_k25,delta_boost,4,256,40000,8.075960159301758,0.7606527474184066,0.795,0.69,0.805,0.84,2.0223721212594805,9.976477599999999
rotation2d,R2D_rot180,random_graph_k25,delta_boost,5,256,40000,7.073151588439941,0.745589432426321,0.805,0.565,0.79,0.835,2.5010257815645414,9.96284500282885
rotation2d,R2D_rot180,random_graph_k25,rls_online,0,256,40000,8.117889404296875,0.8914047385744077,0.935,0.845,0.9,0.96,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,rls_online,1,256,40000,5.9242284297943115,0.8905530011808749,1.0,0.8,0.9,0.9,nan,0.0
rotation2d,R2D_rot180,random_graph_k25,delta_boost,8,256,40000,8.193724393844604,0.7469272128840984,0.81,0.53,0.805,0.84,2.5258483394541074,9.97320035233347
rotation2d,R2D_rot180,random_graph_k25,delta_boost,9,256,40000,6.066175699234009,0.7495843069269615,0.785,0.6,0.765,0.82,2.274010074067224,9.976477599999999
rotation2d,R2D_rot90,parallel,rmhl_norm,0,256,40000,3.288461685180664,0.7479309565086305,0.78,0.74,0.785,0.765,nan,0.0
