topology,alpha_max,kappa,seed_idx,ftle_per_pulse,mc_total,mc_total_test,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,runtime_s
ring_bidir,0.1,21.0,4,-0.08169469216026218,27.105371047854103,12.895845789121458,0.9870676783345316,0.033831820954248824,0.4448860677083334,0.08603828195639082,1.3142855167388916
ring_bidir,0.1,21.0,6,-0.1347374919051003,27.45219676365422,12.83652821801108,0.9893776583020988,0.030765477031854876,0.4525,0.08706794597892475,1.2583277225494385
ring_bidir,0.1,21.0,7,-0.10178194223905353,27.80701644502314,13.433302834185993,0.9894317181901721,0.031569362383519664,0.4591276041666667,0.089583057074559,1.299865961074829
ring_bidir,0.1,20.0,2,-0.05877269843543618,27.133830515694058,10.749732356746113,0.9891351341237157,0.030253588768487775,0.43510091145833335,0.08343146189664677,3.498204469680786
ring_bidir,0.1,21.0,8,-0.06525715016166864,27.859986156899623,11.414909040940778,0.9904644717015224,0.03323120000974325,0.4508561197916667,0.08697311830792051,1.2960803508758545
ring_bidir,0.1,20.0,4,-0.06571080179768009,26.36240649050879,12.43862886468261,0.9870921848318558,0.03226353631529245,0.43496419270833336,0.08153484811305205,3.5979549884796143
ring_bidir,0.1,20.0,1,-0.07571812596095291,26.013783957377868,10.424662603950283,0.9810059688365719,0.02516905476980743,0.4427799479166667,0.08205008142830782,3.9007043838500977
ring_bidir,0.1,22.0,0,-0.10938449158658914,27.88548790502669,12.419913372090525,0.9916436734180372,0.03106939052389277,0.46323567708333335,0.09170102120497918,1.342792272567749
ring_bidir,0.1,22.0,1,-0.09800452661610934,28.408076756632777,12.389532116936104,0.985812000334755,0.028716471220744937,0.4524869791666667,0.08810384399153462,1.4072926044464111
ring_bidir,0.1,20.0,5,-0.06754070211560385,26.502903282916126,12.247499131452113,0.9895092308909614,0.028568369480036705,0.437919921875,0.08156684628885837,3.8402910232543945
ring_bidir,0.1,21.0,9,-0.08205938796099342,26.719499799659346,9.228566860092904,0.9810405023048644,0.030304803400361364,0.4558268229166667,0.08784383137850324,1.5389635562896729
ring_bidir,0.1,20.0,3,-0.07437328653325923,25.742941704045485,11.441403025560904,0.9925754439178954,0.030195415147846606,0.4348893229166667,0.08134208114094264,4.114761829376221
ring_bidir,0.1,22.0,2,-0.09826226171163796,29.07480541331894,12.73406736209397,0.9932573063865724,0.03293673794341029,0.45142578125000005,0.0895674057762975,1.6789579391479492
ring_bidir,0.1,22.0,3,-0.05101969085088423,28.488983126896755,13.104593940623902,0.9902490355791246,0.02947925039273177,0.442685546875,0.08562802934113055,1.5701079368591309
ring_bidir,0.1,22.0,6,-0.1203290019269442,27.978164468478298,13.38355228527257,0.9916611335060501,0.03141006423540508,0.46110677083333335,0.09119965261772751,1.4249682426452637
ring_bidir,0.1,22.0,5,-0.0798527099972745,28.750760284351394,6.629071707282277,0.9691341205948344,0.031176989091792288,0.45534505208333337,0.09035719380723632,1.56709885597229
ring_bidir,0.1,22.0,8,-0.07370228991479243,29.142873534306773,13.188094477597996,0.9890314430900767,0.03378545013259444,0.46215494791666667,0.09119264469776578,1.3460533618927002
ring_bidir,0.1,22.0,4,-0.07680854969045917,27.815635862584383,10.57853182511297,0.9764275648607488,0.034929986232791706,0.44798828125,0.08882515901188133,1.6175494194030762
ring_bidir,0.1,23.0,0,-0.1069104631241319,29.42741314053386,13.507002287222772,0.9918254868567777,0.03017177238885159,0.4754947916666667,0.09628508151441947,1.4793171882629395
ring_bidir,0.1,22.0,7,-0.1127547694434593,28.410580276926478,12.803760358724457,0.9897827442077016,0.032124006024046525,0.46825846354166667,0.09404249597832413,1.7086458206176758
ring_bidir,0.1,22.0,9,-0.08546920241992431,28.23747610961171,11.736239615757727,0.9917788115829478,0.030820433139730024,0.4664518229166667,0.09217220177716125,1.5491962432861328
