task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,recovery,post_mean,success_rate
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,3,256,40000,3.596989870071411,0.5100158287480214,0,nan,0.08255825698645924,0.5936205128205128,0.3333333333333333
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,4,256,40000,3.639258623123169,0.5010546217431723,0,nan,-0.022542652773776373,0.48976769230769246,0.48717948717948717
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,5,256,40000,3.521510362625122,0.5008537473932815,0,nan,-0.02267464067351706,0.48937025641025655,0.48717948717948717
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,4,256,40000,3.482156753540039,0.501962136629733,0,nan,-0.028157507839356413,0.48685587929240376,0.46875
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,5,256,40000,3.608008623123169,0.49839602020049745,0,nan,-0.02141078902360151,0.4902950052029136,0.46875
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,8,256,40000,3.660953998565674,0.5029503027562121,0,nan,0.02015221966132079,0.5296646153846153,0.48717948717948717
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,9,256,40000,3.519209146499634,0.4886418682947664,0,nan,0.06142258234898687,0.5513856410256412,0.2564102564102564
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,0,256,40000,3.601501941680908,0.49505904374261944,0,nan,-0.007088368064406234,0.5010176899063475,0.46875
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,1,256,40000,3.6628434658050537,0.5030730383658701,0,nan,0.027051066022524967,0.5419903746097815,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,6,256,40000,3.4891304969787598,0.5001417049822868,0,nan,-0.02150113629434599,0.4916883454734651,0.46875
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,7,256,40000,3.619023561477661,0.49856787517901563,0,nan,0.10686830031157507,0.6154711238293444,0.4375
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,0,256,40000,3.311344623565674,0.5091276601090425,0,nan,-0.0031307465146909654,0.4998043444409841,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,1,256,40000,3.410733699798584,0.5036252857968393,0,nan,0.09803048275356628,0.6130518140766117,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,8,256,40000,3.494368076324463,0.5029745483781815,0,nan,0.053894315379532806,0.5613444328824141,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.25,62,9,256,40000,3.4032185077667236,0.4999546493806688,0,nan,0.03175528812946008,0.5442216441207075,0.53125
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,2,256,40000,3.5346550941467285,0.5020700484912439,0,nan,0.07732680907542797,0.5730333034880101,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,3,256,40000,3.4727895259857178,0.5131062033617245,0,nan,0.13064526387044023,0.6543256773590783,0.5384615384615384
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,0,256,40000,3.3030147552490234,0.514378784452652,0,nan,-0.0025849595417021306,0.49722700845665974,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,1,256,40000,3.488495349884033,0.5097084244114469,0,nan,0.16588447161918685,0.6640304812127618,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,6,256,40000,3.460362672805786,0.5039637195045351,0,nan,0.015712540874817552,0.5127411437246964,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,7,256,40000,3.5042872428894043,0.5027368659078918,0,nan,0.12090942020160649,0.6202180979445656,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,8,256,40000,3.576181173324585,0.514024647621919,0,nan,0.045085910182722025,0.557537838679539,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,9,256,40000,3.4459919929504395,0.5123824778271904,0,nan,0.028281086519780133,0.5342007552164435,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,4,256,40000,3.5727787017822266,0.507791135901108,0,nan,0.0014089025678209082,0.5024966132046091,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.5,75,5,256,40000,3.6105427742004395,0.48528881183889844,0,nan,0.011425886814740502,0.5075559794456556,0.46153846153846156
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,2,256,40000,3.512718915939331,0.503678048290244,0,nan,0.06662352320552299,0.5559003459542571,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,3,256,40000,3.4821455478668213,0.5173086103364237,0,nan,0.1288406896690585,0.6568651679319623,0.45454545454545453
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,4,256,40000,3.105802297592163,0.5164592598175926,0,nan,-0.002289970354602287,0.49972032961752844,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,5,256,40000,3.3136582374572754,0.5135775483028066,0,nan,0.005385001468337924,0.503420142225639,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,6,256,40000,3.6737704277038574,0.5127788246526469,0,nan,-0.0016236030803735196,0.497792379396502,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,7,256,40000,3.5113799571990967,0.5080633652420794,0,nan,0.09056826023579041,0.5956247357293869,0.5
d2_timescale,random_graph_k25,rmhl_oracle,1.75,87,8,256,40000,3.4889025688171387,0.5133965227004347,0,nan,0.07267787668854721,0.5869363348068423,0.5454545454545454
