arm,lr,rank,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,runtime_s
A1-lr1e-02-r16,0.01,16,0,25.621518596599387,nan,20.0,48.54114478881805,2.8291707038879395
A1-lr1e-02-r16,0.01,16,1,22.381889071028276,nan,20.0,60.33237389401336,2.4083051681518555
A1-lr1e-02-r16,0.01,16,2,20.160611378393444,nan,20.0,81.18812800663876,2.096256971359253
A1-lr1e-02-r16,0.01,16,3,16.20474955376692,nan,20.0,95.51925270049567,2.115079164505005
A1-lr1e-02-r16,0.01,16,4,16.248520331313575,nan,20.0,75.45363665121492,2.528073787689209
A1-lr1e-02-r16,0.01,16,5,23.3542421968365,nan,20.0,44.9697471149186,2.486720085144043
A1-lr1e-02-r16,0.01,16,6,17.501943099769505,nan,20.0,82.8951873646316,2.277756452560425
A1-lr1e-02-r16,0.01,16,7,24.04665031493415,nan,20.0,40.98202267954762,2.948244094848633
A1-lr1e-02-r16,0.01,16,8,21.529349468208537,nan,20.0,42.37996313451383,2.2815864086151123
A1-lr1e-02-r16,0.01,16,9,17.797833740189326,nan,20.0,70.15008905056449,2.1233749389648438
A1-lr3e-04-r32,0.0003,32,0,29.419761203804196,nan,20.0,21.022500640153776,2.260843276977539
A1-lr3e-04-r32,0.0003,32,1,28.62482422000094,nan,20.0,19.912254270461546,2.4016053676605225
A1-lr3e-04-r32,0.0003,32,2,30.806885996851868,nan,20.0,21.695387087880057,1.6814334392547607
A1-lr3e-04-r32,0.0003,32,3,28.184992862553898,nan,20.0,19.543418618918533,1.969909906387329
A1-lr3e-04-r32,0.0003,32,4,29.089164918360936,nan,20.0,20.578460643637648,2.1738011837005615
A1-lr3e-04-r32,0.0003,32,5,29.59547090697038,nan,20.0,20.636806436992497,2.093468427658081
A1-lr3e-04-r32,0.0003,32,6,28.471294608411775,nan,20.0,19.433467181714178,1.952770709991455
A1-lr3e-04-r32,0.0003,32,7,28.24625533735263,nan,20.0,19.57931956847813,2.8074753284454346
A1-lr3e-04-r32,0.0003,32,8,29.02905346163943,nan,20.0,20.141668008906127,3.1136362552642822
A1-lr3e-04-r32,0.0003,32,9,29.159037737599913,nan,20.0,19.38332011744995,2.6993789672851562
A1-lr1e-03-r32,0.001,32,0,21.548743201041344,nan,20.0,23.616092055328494,1.7793197631835938
A1-lr1e-03-r32,0.001,32,1,20.00515068685962,nan,20.0,32.1165070027104,2.0517406463623047
A1-lr1e-03-r32,0.001,32,2,22.0578824533436,nan,20.0,24.15907793864969,2.099102020263672
A1-lr1e-03-r32,0.001,32,3,19.52478463483658,nan,20.0,30.42359666505983,2.6966617107391357
A1-lr1e-03-r32,0.001,32,4,20.339158281568313,nan,20.0,28.428977818140115,2.7830758094787598
A1-lr1e-03-r32,0.001,32,5,21.50637681003043,nan,20.0,23.884482272853834,2.5812952518463135
A1-lr1e-03-r32,0.001,32,6,20.720330085311037,nan,20.0,25.46731601626727,2.363682746887207
A1-lr1e-03-r32,0.001,32,7,20.784827031885328,nan,20.0,23.08881336383256,2.073735237121582
A1-lr1e-03-r32,0.001,32,8,20.869467543299354,nan,20.0,27.33761428541798,3.220057964324951
A1-lr1e-03-r32,0.001,32,9,19.86048665341979,nan,20.0,31.283778611201733,2.290372133255005
A1-lr3e-03-r32,0.003,32,0,15.574183567854725,nan,20.0,53.24994605404699,1.764094352722168
A1-lr3e-03-r32,0.003,32,1,13.680257518042,nan,20.0,72.67101345500178,2.229283332824707
A1-lr3e-03-r32,0.003,32,2,15.477173185300943,nan,20.0,68.87943923399932,1.9480347633361816
A1-lr3e-03-r32,0.003,32,3,14.963358831530163,nan,20.0,66.15015672898788,2.187002420425415
A1-lr3e-03-r32,0.003,32,4,14.788270680958847,nan,20.0,63.14841440340398,2.156345844268799
A1-lr3e-03-r32,0.003,32,5,15.217012018032662,nan,20.0,63.538176075714446,1.8928806781768799
A1-lr3e-03-r32,0.003,32,6,14.710241513335575,nan,20.0,58.98066030697731,2.0167505741119385
A1-lr3e-03-r32,0.003,32,7,15.312635995085179,nan,20.0,52.65740581649805,2.0720670223236084
A1-lr3e-03-r32,0.003,32,8,14.453202018777466,nan,20.0,60.8134394435695,2.5209145545959473
A1-lr3e-03-r32,0.003,32,9,14.445543078415927,nan,20.0,62.216044636311814,1.8354253768920898
