task,substrate,readout,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all,nmse_final30
drift_binary,parallel,rls_dense,6,256,40000,327.6334524154663,0.985,0.98,0.9830567071179116,
drift_binary,parallel,rls_dense,7,256,40000,420.14797592163086,0.99,0.97,0.981996432250446,
drift_binary,parallel,rls_dense,4,256,40000,329.33088088035583,0.985,0.97,0.9822074822240646,
drift_binary,parallel,rls_dense,5,256,40000,422.9146511554718,0.985,0.97,0.9831295696088038,
drift_binary,parallel,rls_dense,2,256,40000,341.767297744751,0.985,0.97,0.9832048189743977,
drift_binary,parallel,rls_dense,3,256,40000,414.53031396865845,0.985,0.98,0.9824289590713801,
drift_binary,parallel,rls_dense,8,256,40000,333.43239283561707,0.99,0.98,0.9831094696113164,
drift_binary,parallel,rls_dense,9,256,40000,421.31321477890015,0.99,0.97,0.9826299590462553,
mackey_glass,random_graph_k25,lms,0,256,21000,5.180762529373169,,,,0.8656191153228949
mackey_glass,random_graph_k25,lms,1,256,21000,5.225479364395142,,,,0.9295839367257683
mackey_glass,random_graph_k25,lms,2,256,21000,5.096292495727539,,,,0.9396814804031892
mackey_glass,random_graph_k25,lms,3,256,21000,5.049036979675293,,,,0.9660340707886476
drift_binary,random_graph_k25,rls_dense,0,256,40000,350.8609387874603,1.0,1.0,0.9924900128137484,
drift_binary,random_graph_k25,rls_dense,1,256,40000,335.97918343544006,1.0,1.0,0.984012336373458,
mackey_glass,random_graph_k25,lms,4,256,21000,5.30576491355896,,,,0.8489865353767387
mackey_glass,random_graph_k25,lms,5,256,21000,4.7651708126068115,,,,0.7909046917082503
narma10,random_graph_k25,rls_dense,0,256,21000,309.9818856716156,,,,0.4854476549940666
narma10,random_graph_k25,rls_dense,1,256,21000,50.798232078552246,,,,0.4072427815206047
drift_binary,random_graph_k25,rls_dense,2,256,40000,347.61224269866943,1.0,1.0,0.9843133338358332,
drift_binary,random_graph_k25,rls_dense,3,256,40000,346.6926884651184,1.0,1.0,0.9946008894248889,
mackey_glass,random_graph_k25,lms,6,256,21000,5.392167091369629,,,,0.8945167287952438
mackey_glass,random_graph_k25,lms,7,256,21000,5.0801825523376465,,,,0.842074602055463
drift_binary,random_graph_k25,rls_dense,8,256,40000,350.1037333011627,1.0,1.0,0.9966743297907087,
drift_binary,random_graph_k25,rls_dense,9,256,40000,327.68585777282715,1.0,1.0,0.9758778673902666,
drift_binary,random_graph_k25,rls_dense,4,256,40000,360.5823721885681,1.0,1.0,0.9965824979271877,
drift_binary,random_graph_k25,rls_dense,5,256,40000,319.1833620071411,1.0,1.0,0.9971023341122082,
mackey_glass,random_graph_k25,lms,8,256,21000,4.2455408573150635,,,,0.7515824928422862
mackey_glass,random_graph_k25,lms,9,256,21000,4.906134366989136,,,,0.8317662036711916
drift_binary,random_graph_k25,rls_dense,6,256,40000,366.7831497192383,1.0,1.0,0.9941699957287506,
