arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,switches_detected,n_switches,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
A2,2000.0,8,9.717490311760208,0.0,20.0,8.55636318574194,0,5,0.0,9.717490311760208,0,0.0,0.0,8.55636318574194,0,6.392660617828369
A2,2000.0,9,9.687686209631547,5.555864214678593e-05,20.0,8.028887230832893,0,5,5.555864214678593e-05,9.674045342999221,1,0.0,0.0,8.028887230832893,0,6.574690103530884
A3,200.0,0,11.959747448632191,0.028501583421301182,20.0,6.12999662936181,3,5,0.028501583421301182,5.718562645499108,513,0.007214428857715431,0.007214428857715431,5.0722071352889735,18,8.265167236328125
A3,200.0,1,12.13049611856335,0.030557253180732262,20.0,6.538575782294688,2,5,0.030557253180732262,5.492849641076593,550,0.008817635270541082,0.008817635270541082,5.182509666145796,22,6.220052719116211
A3,200.0,2,12.177851674332656,0.029612756264236904,20.0,6.544611190308866,3,5,0.029612756264236904,5.655893729027722,533,0.008416833667334669,0.008416833667334669,5.24309586953013,21,8.391276836395264
A3,200.0,3,12.063117327972629,0.02933496305350297,20.0,6.152850876393503,5,5,0.02933496305350297,5.642671573352826,528,0.006813627254509018,0.006813627254509018,5.13076506161026,17,6.222679615020752
A3,200.0,4,11.935283081863139,0.02816823156842047,20.0,5.86915381002259,1,5,0.02816823156842047,5.75742421562034,507,0.0052104208416833666,0.0052104208416833666,5.138030048540557,13,7.0519304275512695
A3,200.0,5,12.660736135946866,0.02977943219067726,20.0,5.91605546203122,3,5,0.02977943219067726,5.8610530214930066,536,0.006412825651302605,0.006412825651302605,4.991676268217899,16,7.866275310516357
A3,200.0,6,12.271083534867085,0.028668259347741542,20.0,7.058936791039821,4,5,0.028668259347741542,5.845854444145235,516,0.010420841683366733,0.010420841683366733,5.368996726793391,26,6.617845058441162
A3,200.0,7,12.114216016449944,0.029057169842769043,20.0,6.119336761228833,1,5,0.029057169842769043,5.70944309164958,523,0.007214428857715431,0.007214428857715431,5.045870986359838,18,8.09964394569397
A3,200.0,8,12.036002721956207,0.02900161120062226,20.0,6.749153440756212,2,5,0.02900161120062226,5.679891226999479,522,0.0056112224448897794,0.0056112224448897794,5.78025853918525,14,6.262239456176758
A3,200.0,9,12.031487265193329,0.030112784043557977,20.0,6.26265069289356,4,5,0.030112784043557977,5.511732823880928,542,0.006412825651302605,0.006412825651302605,5.272584156751171,16,6.4142005443573
A3,500.0,0,12.49717657332644,0.028223790210567253,20.0,6.418815443964834,2,5,0.028223790210567253,6.027609024425163,508,0.008416833667334669,0.008416833667334669,5.156989279957386,21,6.317806005477905
A3,500.0,1,13.39525220092892,0.02950163897994333,20.0,6.887181457934903,0,5,0.02950163897994333,6.257878585127611,531,0.008016032064128256,0.008016032064128256,5.608089001985578,20,6.27585244178772
A3,500.0,2,13.246080573478554,0.029446080337796544,20.0,6.934643294622282,0,5,0.029446080337796544,6.1952297193077905,530,0.008416833667334669,0.008416833667334669,5.54908337713025,21,6.3056559562683105
A3,500.0,3,13.52450259878232,0.02933496305350297,20.0,6.311046850156524,0,5,0.02933496305350297,6.348152865672581,528,0.0052104208416833666,0.0052104208416833666,5.4962747441263975,13,6.2662622928619385
A3,500.0,4,13.284295638633342,0.028779376632035114,20.0,5.958266599727551,0,5,0.028779376632035114,6.324692682684112,518,0.0036072144288577155,0.0036072144288577155,5.433496983620303,9,6.329643249511719
A3,500.0,5,14.052693347593964,0.030335018612145118,20.0,6.027680613629545,1,5,0.030335018612145118,6.430694279264889,546,0.004809619238476954,0.004809619238476954,5.304224923045221,12,6.40185284614563
A3,500.0,6,13.592000333485771,0.028446024779154398,20.0,7.2595295152654815,0,5,0.028446024779154398,6.533079519996872,512,0.009218436873747494,0.009218436873747494,5.689905468849846,23,6.4166953563690186
A3,500.0,7,13.324204335168128,0.02939052169564976,20.0,6.267273486174853,0,5,0.02939052169564976,6.242092401199623,529,0.006012024048096192,0.006012024048096192,5.343847357986996,15,6.501415967941284
A3,500.0,8,13.018664730178507,0.028446024779154398,20.0,6.787284131399417,0,5,0.028446024779154398,6.249611194772479,512,0.004008016032064128,0.004008016032064128,6.062597364131099,10,6.737694978713989
A3,500.0,9,13.068481377962069,0.029446080337796544,20.0,6.321722616650846,0,5,0.029446080337796544,6.109663444984704,530,0.004809619238476954,0.004809619238476954,5.547369734718857,12,6.560035705566406
A3,1000.0,0,14.040921059247955,0.027557086504805824,20.0,6.815542072896681,0,5,0.027557086504805824,6.9159923273832264,496,0.008016032064128256,0.008016032064128256,5.540554471543925,20,6.371086835861206
A3,1000.0,1,15.04731860624005,0.02950163897994333,20.0,7.7632877527692,0,5,0.02950163897994333,7.054572903820111,531,0.008016032064128256,0.008016032064128256,6.331327617835413,20,6.363257884979248
A3,1000.0,2,14.588944850671588,0.028334907494860825,20.0,7.707856900185369,0,5,0.028334907494860825,7.047481692002559,510,0.009218436873747494,0.009218436873747494,6.022163588207275,23,6.387933969497681
A3,1000.0,3,15.592816382167939,0.029112728484915827,20.0,7.634832278021989,0,5,0.029112728484915827,7.393786558802877,524,0.008016032064128256,0.008016032064128256,6.21825070164265,20,6.37738037109375
A3,1000.0,4,14.755094232455683,0.0292238457692094,20.0,6.381964222766382,0,5,0.0292238457692094,6.964473258470911,526,0.0036072144288577155,0.0036072144288577155,5.825562834810869,9,6.479542255401611
A3,1000.0,5,15.112869206619235,0.029723873548530472,20.0,6.6104558208768776,0,5,0.029723873548530472,7.044694913132018,535,0.004408817635270541,0.004408817635270541,5.8650195832472365,11,6.3718342781066895
A3,1000.0,6,14.957597888523127,0.027890438357686537,20.0,7.752198401907646,0,5,0.027890438357686537,7.31613636145887,502,0.007615230460921844,0.007615230460921844,6.374986949533602,19,6.186712265014648
A3,1000.0,7,14.550235836488504,0.02894605255847547,20.0,6.673850932991175,0,5,0.02894605255847547,6.915555654055111,521,0.006012024048096192,0.006012024048096192,5.69143053498792,15,7.241342782974243
A3,1000.0,8,14.809960079954319,0.0288349352741819,20.0,7.4918806724844895,0,5,0.0288349352741819,7.063435530042753,519,0.004408817635270541,0.004408817635270541,6.6347062722711545,11,5.672811985015869
