task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,alpha_final,dwell_final,recovery,post_mean,success_rate
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,8,256,40000,5.024857521057129,0.5000358031205246,0,nan,nan,nan,0.0034869107518915783,0.5065900681596884,0.4430379746835443
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,9,256,40000,4.6920483112335205,0.4995325494334312,0,nan,nan,nan,0.004324350574359461,0.5026942551119766,0.46835443037974683
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,6,256,40000,4.888498783111572,0.48847265144091867,0,nan,nan,nan,0.0021729806519650624,0.49335175267770204,0.189873417721519
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,7,256,40000,5.430945634841919,0.49461106504861685,0,nan,nan,nan,0.005319776370229737,0.5022796981499512,0.2911392405063291
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,0,256,40000,5.11575722694397,0.49880932639883424,0,nan,nan,nan,-0.020373580140209357,0.4890102564102564,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,1,256,40000,5.095866918563843,0.5018822391397201,0,nan,nan,nan,0.04143512180287459,0.5432343589743589,0.358974358974359
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,4,256,40000,5.10634970664978,0.5010546217431723,0,nan,nan,nan,-0.022542652773776373,0.48976769230769246,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,5,256,40000,4.892928600311279,0.5008537473932815,0,nan,nan,nan,-0.02267464067351706,0.48937025641025655,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,0,256,40000,5.018515586853027,0.5013972010753499,0,nan,nan,nan,-0.044044956749174434,0.4800242105263158,0.47368421052631576
adaptive_meta,random_graph_k25,rmhl_oracle,2.0,100,1,256,40000,4.682294607162476,0.5137560614054923,0,nan,nan,nan,0.188882084076098,0.6903781578947369,0.5263157894736842
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,2,256,40000,5.293083429336548,0.5040124619984422,0,nan,nan,nan,-0.009616454592016375,0.5057646153846154,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,3,256,40000,5.190267086029053,0.5100158287480214,0,nan,nan,nan,0.08255825698645924,0.5936205128205128,0.3333333333333333
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,8,256,40000,5.125422477722168,0.5029503027562121,0,nan,nan,nan,0.02015221966132079,0.5296646153846153,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,9,256,40000,4.99019193649292,0.4886418682947664,0,nan,nan,nan,0.06142258234898687,0.5513856410256412,0.2564102564102564
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,6,256,40000,5.109572887420654,0.492580839677395,0,nan,nan,nan,0.09878919523672332,0.5977720512820514,0.48717948717948717
adaptive_meta,random_graph_k25,rmhl_oracle,1.0,50,7,256,40000,5.19197678565979,0.5017840004019999,0,nan,nan,nan,0.06001711322385482,0.5591428205128205,0.48717948717948717
