task,rot_span,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
rotation2d,100,random_graph_k25,delta_base,3,256,40000,5.818204164505005,0.7907586492801688,0.8,0.76,0.78
rotation2d,100,random_graph_k25,delta_base,4,256,40000,5.848447561264038,0.7886991532876059,0.785,0.67,0.825
rotation2d,100,random_graph_k25,delta_base,5,256,40000,5.817914962768555,0.7965510916811135,0.815,0.685,0.85
rotation2d,40,parallel,rls_online,0,256,40000,1.9083847999572754,0.9167784729026908,0.9,0.8,0.9
rotation2d,40,parallel,rls_online,1,256,40000,2.3523497581481934,0.9070324866209393,0.9,0.8,0.925
rotation2d,40,parallel,rls_online,2,256,40000,1.9670417308807373,0.914242104469737,0.925,0.765,0.905
rotation2d,40,parallel,rls_online,3,256,40000,2.2153754234313965,0.9261274842340645,0.9,0.78,1.0
rotation2d,40,parallel,rls_online,4,256,40000,2.0521857738494873,0.9126604859174393,0.9,0.8,1.0
rotation2d,40,parallel,rls_online,5,256,40000,2.260850191116333,0.9239906032511748,1.0,0.7,0.9
rotation2d,40,parallel,rls_online,8,256,40000,2.1815502643585205,0.9208512348935957,0.9,0.8,0.9
rotation2d,40,parallel,rls_online,9,256,40000,2.1724421977996826,0.9079156302605461,0.9,0.8,0.9
rotation2d,40,parallel,rls_online,6,256,40000,2.2886626720428467,0.9198939725132533,0.9,0.8,1.0
rotation2d,40,parallel,rls_online,7,256,40000,2.1804535388946533,0.9110022361247205,0.9,0.9,0.9
rotation2d,40,parallel,delta_base,0,256,40000,2.6099495887756348,0.7268306072711742,0.735,0.625,0.72
rotation2d,40,parallel,delta_base,1,256,40000,2.455935478210449,0.7301943418507073,0.755,0.595,0.735
rotation2d,40,parallel,delta_base,2,256,40000,2.326503276824951,0.7314355166955604,0.775,0.67,0.73
rotation2d,40,parallel,delta_base,3,256,40000,2.62986421585083,0.713233712720786,0.73,0.64,0.735
rotation2d,40,parallel,delta_base,4,256,40000,2.180206537246704,0.731453983568252,0.755,0.625,0.77
rotation2d,40,parallel,delta_base,5,256,40000,2.2788021564483643,0.7355992311750961,0.725,0.625,0.765
rotation2d,40,parallel,delta_base,6,256,40000,2.2692692279815674,0.7185711414286072,0.69,0.585,0.725
rotation2d,40,parallel,delta_base,7,256,40000,2.267484188079834,0.7256563905429512,0.76,0.63,0.73
rotation2d,100,random_graph_k25,delta_base,6,256,40000,6.006906270980835,0.7948846762644153,0.79,0.78,0.825
