substrate,kappa_int,reward_every,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all
parallel,0.0,5,2,256,40000,3.8944294452667236,0.88,0.11,0.5019600010049999
parallel,0.0,5,3,256,40000,2.7682363986968994,0.87,0.105,0.5118213110223361
parallel,0.1,5,0,256,40000,3.7600159645080566,0.905,0.08,0.4988504057686993
parallel,0.1,5,1,256,40000,2.858088254928589,0.885,0.095,0.5029771865028517
parallel,0.1,1,6,256,40000,4.008992671966553,0.88,0.1,0.4981094696113164
parallel,0.1,1,7,256,40000,2.8209097385406494,0.9,0.115,0.5018046028994246
parallel,0.1,5,2,256,40000,2.0757408142089844,0.88,0.11,0.5021738147282732
parallel,0.1,5,3,256,40000,2.0146090984344482,0.87,0.1,0.5029550765056154
parallel,0.1,5,4,256,40000,2.215667963027954,0.105,0.885,0.5017989497751313
parallel,0.1,5,5,256,40000,2.010106325149536,0.105,0.895,0.5012444410944449
parallel,0.1,5,8,256,40000,2.4193665981292725,0.085,0.91,0.49874488078188983
parallel,0.1,5,9,256,40000,2.11126708984375,0.08,0.885,0.49619318610085167
parallel,0.5,1,0,256,40000,2.4128997325897217,0.09,0.92,0.500983392377076
parallel,0.5,1,1,256,40000,2.1127758026123047,0.115,0.905,0.49691377101077866
parallel,0.5,1,6,256,40000,2.449188232421875,0.88,0.1,0.4981094696113164
parallel,0.5,1,7,256,40000,2.1984570026397705,0.9,0.115,0.5018046028994246
parallel,0.5,1,4,256,40000,2.4264707565307617,0.885,0.115,0.4976346071706741
parallel,0.5,1,5,256,40000,2.2598328590393066,0.105,0.895,0.5012375317203086
parallel,0.5,1,8,256,40000,2.423788070678711,0.915,0.085,0.5005432024320997
parallel,0.5,1,9,256,40000,2.2244679927825928,0.08,0.885,0.4961165548604306
parallel,0.5,5,2,256,40000,2.4354617595672607,0.88,0.11,0.5021738147282732
parallel,0.5,5,3,256,40000,2.115696668624878,0.87,0.1,0.5029550765056154
parallel,0.1,5,6,256,40000,2.7829396724700928,0.88,0.1,0.49817215647848045
parallel,0.1,5,7,256,40000,2.7846078872680664,0.1,0.885,0.4983810708273661
parallel,0.5,1,2,256,40000,2.5512099266052246,0.88,0.11,0.5021738147282732
parallel,0.5,1,3,256,40000,2.8064382076263428,0.87,0.1,0.5029550765056154
parallel,0.5,5,0,256,40000,2.915752649307251,0.905,0.08,0.4988504057686993
parallel,0.5,5,1,256,40000,2.7716243267059326,0.885,0.095,0.502983216502098
parallel,0.5,5,6,256,40000,2.8907153606414795,0.88,0.1,0.49817215647848045
parallel,0.5,5,7,256,40000,2.7551956176757812,0.1,0.885,0.49835594583050674
parallel,0.5,5,8,256,40000,2.907835006713867,0.085,0.91,0.4986946307881711
parallel,0.5,5,9,256,40000,2.74259614944458,0.08,0.885,0.49619318610085167
parallel,0.5,5,4,256,40000,2.9418976306915283,0.105,0.885,0.5015728248033969
parallel,0.5,5,5,256,40000,2.757201671600342,0.105,0.895,0.5012444410944449
parallel,2.0,1,2,256,40000,2.8363804817199707,0.88,0.11,0.5021738147282732
parallel,2.0,1,3,256,40000,2.6134772300720215,0.87,0.1,0.5029550765056154
parallel,2.0,1,0,256,40000,2.9097564220428467,0.09,0.92,0.500983392377076
parallel,2.0,1,1,256,40000,2.6833367347717285,0.115,0.905,0.49691377101077866
parallel,2.0,1,4,256,40000,2.1633903980255127,0.885,0.115,0.4976346071706741
parallel,2.0,1,5,256,40000,1.8832154273986816,0.105,0.895,0.5012375317203086
parallel,2.0,1,6,256,40000,2.227726459503174,0.88,0.1,0.4981094696113164
parallel,2.0,1,7,256,40000,1.8162868022918701,0.9,0.115,0.5018046028994246
parallel,2.0,1,8,256,40000,1.934232473373413,0.915,0.085,0.5005432024320997
parallel,2.0,1,9,256,40000,1.8298492431640625,0.08,0.885,0.4961165548604306
parallel,2.0,5,0,256,40000,1.9131007194519043,0.905,0.08,0.4988504057686993
parallel,2.0,5,1,256,40000,1.797468900680542,0.885,0.095,0.502983216502098
parallel,2.0,5,2,256,40000,1.9568912982940674,0.88,0.11,0.5021738147282732
parallel,2.0,5,3,256,40000,1.7443313598632812,0.87,0.1,0.5029550765056154
parallel,2.0,5,6,256,40000,1.9654333591461182,0.88,0.1,0.49817215647848045
parallel,2.0,5,7,256,40000,1.7781271934509277,0.1,0.885,0.49835594583050674
parallel,2.0,5,4,256,40000,2.0223190784454346,0.105,0.885,0.5015728248033969
parallel,2.0,5,5,256,40000,1.7915122509002686,0.105,0.895,0.5012444410944449
parallel,2.0,5,8,256,40000,2.0089805126190186,0.085,0.91,0.49864438079445234
parallel,2.0,5,9,256,40000,1.7216072082519531,0.08,0.885,0.49619318610085167
random_graph_k25,0.0,5,6,256,40000,4.264342308044434,0.93,0.055,0.49612409235948846
random_graph_k25,0.0,5,7,256,40000,4.037700176239014,0.945,0.07,0.5001435893570514
random_graph_k25,0.0,5,8,256,40000,4.351165771484375,0.945,0.055,0.5294423506947061
random_graph_k25,0.0,5,9,256,40000,4.033029556274414,0.95,0.07,0.5045368206828974
random_graph_k25,0.0,1,2,256,40000,5.949080944061279,0.93,0.0675,0.5020921584884801
random_graph_k25,0.0,1,3,256,40000,5.113705158233643,0.93,0.055,0.5225145096856862
random_graph_k25,0.1,1,0,256,40000,4.351921796798706,0.945,0.04,0.49432062008492256
random_graph_k25,0.1,1,1,256,40000,4.251978397369385,0.93,0.055,0.5011619054797618
random_graph_k25,0.1,1,2,256,40000,4.347373723983765,0.93,0.0675,0.5020921584884801
random_graph_k25,0.1,1,3,256,40000,4.36558198928833,0.93,0.055,0.5020170347478706
random_graph_k25,0.0,1,0,256,40000,5.906488418579102,0.945,0.04,0.49432062008492256
random_graph_k25,0.0,1,1,256,40000,5.822113275527954,0.93,0.055,0.529558679430165
random_graph_k25,0.1,1,4,256,40000,4.389228343963623,0.93,0.07,0.4995722469284691
random_graph_k25,0.1,1,5,256,40000,4.443859815597534,0.07,0.925,0.4999261325092334
random_graph_k25,0.1,1,8,256,40000,4.3859546184539795,0.055,0.945,0.4992275319715585
random_graph_k25,0.1,1,9,256,40000,4.4373674392700195,0.95,0.07,0.5002536368432954
random_graph_k25,0.1,5,0,256,40000,4.283853769302368,0.945,0.04,0.49463304942086883
random_graph_k25,0.1,5,1,256,40000,4.464916706085205,0.93,0.055,0.5011173086103364
random_graph_k25,0.0,1,8,256,40000,6.07660698890686,0.945,0.055,0.5225226753096656
random_graph_k25,0.0,1,9,256,40000,5.50948429107666,0.95,0.07,0.520260671842416
random_graph_k25,0.0,1,4,256,40000,6.018488168716431,0.93,0.07,0.4995722469284691
random_graph_k25,0.0,1,5,256,40000,6.0518882274627686,0.93,0.075,0.49869299766337527
random_graph_k25,0.1,1,6,256,40000,4.385090112686157,0.07,0.945,0.5021637647295294
random_graph_k25,0.1,1,7,256,40000,5.204203844070435,0.945,0.07,0.5002072812240899
random_graph_k25,0.0,5,0,256,40000,6.094604015350342,0.945,0.04,0.5260845204894349
random_graph_k25,0.0,5,1,256,40000,6.028447866439819,0.93,0.055,0.56073967990754
random_graph_k25,0.0,1,6,256,40000,6.113745450973511,0.93,0.055,0.4996409637948795
random_graph_k25,0.0,1,7,256,40000,6.061896562576294,0.945,0.07,0.500190824351147
random_graph_k25,0.0,5,4,256,40000,6.038597345352173,0.93,0.07,0.4952643149669606
random_graph_k25,0.0,5,5,256,40000,5.957424163818359,0.93,0.075,0.518357327705334
random_graph_k25,0.0,5,2,256,40000,6.099103689193726,0.93,0.0675,0.5021282128589735
random_graph_k25,0.0,5,3,256,40000,5.996929168701172,0.93,0.055,0.5088967613879047
random_graph_k25,0.1,5,2,256,40000,4.1624250411987305,0.93,0.0675,0.5020921584884801
random_graph_k25,0.1,5,3,256,40000,4.282219171524048,0.93,0.055,0.5020170347478706
random_graph_k25,0.1,5,4,256,40000,4.170067310333252,0.07,0.93,0.4997601819049773
random_graph_k25,0.1,5,5,256,40000,4.315267562866211,0.07,0.925,0.49992650938418626
random_graph_k25,0.1,5,6,256,40000,4.2748425006866455,0.93,0.055,0.49786261651717295
random_graph_k25,0.1,5,7,256,40000,4.196088552474976,0.055,0.93,0.49984070751991155
random_graph_k25,0.1,5,8,256,40000,4.251360654830933,0.055,0.945,0.4992314263460717
random_graph_k25,0.1,5,9,256,40000,4.193747520446777,0.05,0.93,0.498529559558805
random_graph_k25,0.5,1,4,256,40000,4.301802158355713,0.93,0.07,0.4995722469284691
random_graph_k25,0.5,1,5,256,40000,4.164025783538818,0.07,0.925,0.4999155800105525
random_graph_k25,0.5,5,6,256,40000,4.257298231124878,0.93,0.055,0.49786261651717295
random_graph_k25,0.5,5,7,256,40000,4.150874614715576,0.055,0.93,0.49984070751991155
random_graph_k25,0.5,5,0,256,40000,4.301750421524048,0.945,0.04,0.49463304942086883
random_graph_k25,0.5,5,1,256,40000,5.264523506164551,0.93,0.055,0.5011229617346298
random_graph_k25,0.5,1,6,256,40000,4.31460428237915,0.07,0.945,0.5021637647295294
random_graph_k25,0.5,1,7,256,40000,5.657159090042114,0.945,0.07,0.5002072812240899
random_graph_k25,2.0,1,2,256,40000,5.366139888763428,0.93,0.0675,0.5020921584884801
random_graph_k25,2.0,1,3,256,40000,4.171964168548584,0.07,0.945,0.4980859777392528
random_graph_k25,0.5,1,0,256,40000,5.819897413253784,0.055,0.96,0.5053932062008492
random_graph_k25,0.5,1,1,256,40000,6.184833288192749,0.93,0.055,0.5011619054797618
