pulses,M_cv0.02,M_cv0.2,M_cv0.5,M_cv1.0,single_exp
0.467144,9.708884e-01,9.697717e-01,9.639205e-01,9.441773e-01,9.708997e-01
0.483603,9.698784e-01,9.687242e-01,9.626792e-01,9.423204e-01,9.698900e-01
0.500641,9.688338e-01,9.676411e-01,9.613963e-01,9.404054e-01,9.688459e-01
0.518279,9.677537e-01,9.665211e-01,9.600705e-01,9.384306e-01,9.677662e-01
0.536539,9.666368e-01,9.653630e-01,9.587003e-01,9.363946e-01,9.666497e-01
0.555442,9.654819e-01,9.641657e-01,9.572844e-01,9.342957e-01,9.654952e-01
0.575012,9.642877e-01,9.629278e-01,9.558214e-01,9.321322e-01,9.643015e-01
0.59527,9.630530e-01,9.616481e-01,9.543098e-01,9.299024e-01,9.630673e-01
0.616243,9.617765e-01,9.603251e-01,9.527481e-01,9.276047e-01,9.617912e-01
0.637954,9.604568e-01,9.589575e-01,9.511347e-01,9.252372e-01,9.604720e-01
0.66043,9.590926e-01,9.575439e-01,9.494680e-01,9.227983e-01,9.591082e-01
0.683698,9.576823e-01,9.560827e-01,9.477465e-01,9.202861e-01,9.576985e-01
0.707786,9.562245e-01,9.545725e-01,9.459684e-01,9.176989e-01,9.562412e-01
0.732723,9.547176e-01,9.530117e-01,9.441320e-01,9.150348e-01,9.547349e-01
0.758538,9.531602e-01,9.513987e-01,9.422356e-01,9.122921e-01,9.531781e-01
0.785263,9.515506e-01,9.497319e-01,9.402774e-01,9.094688e-01,9.515690e-01
0.812929,9.498872e-01,9.480095e-01,9.382555e-01,9.065632e-01,9.499062e-01
0.84157,9.481682e-01,9.462299e-01,9.361681e-01,9.035733e-01,9.481878e-01
0.87122,9.463919e-01,9.443913e-01,9.340132e-01,9.004973e-01,9.464122e-01
0.901914,9.445565e-01,9.424917e-01,9.317889e-01,8.973333e-01,9.445775e-01
0.93369,9.426603e-01,9.405295e-01,9.294932e-01,8.940793e-01,9.426819e-01
0.966586,9.407012e-01,9.385026e-01,9.271241e-01,8.907336e-01,9.407235e-01
1.00064,9.386774e-01,9.364090e-01,9.246793e-01,8.872941e-01,9.387004e-01
1.03589,9.365869e-01,9.342468e-01,9.221569e-01,8.837591e-01,9.366107e-01
1.07239,9.344277e-01,9.320139e-01,9.195546e-01,8.801266e-01,9.344522e-01
1.11017,9.321976e-01,9.297082e-01,9.168703e-01,8.763948e-01,9.322228e-01
1.14929,9.298946e-01,9.273275e-01,9.141016e-01,8.725618e-01,9.299206e-01
1.18978,9.275164e-01,9.248696e-01,9.112463e-01,8.686258e-01,9.275432e-01
1.2317,9.250608e-01,9.223322e-01,9.083021e-01,8.645849e-01,9.250885e-01
1.27509,9.225256e-01,9.197131e-01,9.052666e-01,8.604374e-01,9.225541e-01
1.32002,9.199084e-01,9.170098e-01,9.021375e-01,8.561815e-01,9.199378e-01
1.36652,9.172068e-01,9.142200e-01,8.989122e-01,8.518155e-01,9.172371e-01
1.41467,9.144183e-01,9.113412e-01,8.955884e-01,8.473376e-01,9.144496e-01
1.46451,9.115406e-01,9.083709e-01,8.921635e-01,8.427463e-01,9.115728e-01
1.5161,9.085710e-01,9.053066e-01,8.886351e-01,8.380400e-01,9.086042e-01
1.56952,9.055070e-01,9.021456e-01,8.850006e-01,8.332170e-01,9.055412e-01
1.62482,9.023460e-01,8.988853e-01,8.812575e-01,8.282760e-01,9.023811e-01
1.68206,8.990852e-01,8.955231e-01,8.774031e-01,8.232154e-01,8.991214e-01
1.74132,8.957219e-01,8.920562e-01,8.734350e-01,8.180340e-01,8.957591e-01
1.80267,8.922534e-01,8.884819e-01,8.693505e-01,8.127304e-01,8.922917e-01
1.86619,8.886768e-01,8.847973e-01,8.651470e-01,8.073035e-01,8.887163e-01
1.93193,8.849894e-01,8.809996e-01,8.608219e-01,8.017521e-01,8.850300e-01
2,8.811881e-01,8.770860e-01,8.563726e-01,7.960752e-01,8.812299e-01
2.07046,8.772701e-01,8.730535e-01,8.517965e-01,7.902720e-01,8.773131e-01
2.14341,8.732325e-01,8.688993e-01,8.470911e-01,7.843415e-01,8.732766e-01
2.21893,8.690722e-01,8.646203e-01,8.422538e-01,7.782831e-01,8.691175e-01
2.2971,8.647862e-01,8.602137e-01,8.372819e-01,7.720963e-01,8.648328e-01
2.37803,8.603715e-01,8.556764e-01,8.321731e-01,7.657805e-01,8.604193e-01
2.46182,8.558249e-01,8.510054e-01,8.269249e-01,7.593354e-01,8.558741e-01
2.54855,8.511436e-01,8.461978e-01,8.215348e-01,7.527608e-01,8.511940e-01
2.63834,8.463242e-01,8.412506e-01,8.160005e-01,7.460567e-01,8.463760e-01
2.73129,8.413639e-01,8.361608e-01,8.103197e-01,7.392231e-01,8.414169e-01
2.82752,8.362594e-01,8.309253e-01,8.044900e-01,7.322604e-01,8.363138e-01
2.92714,8.310077e-01,8.255413e-01,7.985095e-01,7.251688e-01,8.310635e-01
3.03027,8.256057e-01,8.200057e-01,7.923759e-01,7.179491e-01,8.256629e-01
3.13703,8.200504e-01,8.143158e-01,7.860874e-01,7.106020e-01,8.201090e-01
3.24755,8.143388e-01,8.084687e-01,7.796420e-01,7.031283e-01,8.143988e-01
3.36197,8.084679e-01,8.024615e-01,7.730380e-01,6.955292e-01,8.085293e-01
3.48042,8.024347e-01,7.962916e-01,7.662739e-01,6.878061e-01,8.024976e-01
3.60304,7.962364e-01,7.899562e-01,7.593480e-01,6.799603e-01,7.963007e-01
3.72998,7.898702e-01,7.834527e-01,7.522592e-01,6.719936e-01,7.899359e-01
3.8614,7.833334e-01,7.767788e-01,7.450061e-01,6.639079e-01,7.834005e-01
3.99744,7.766232e-01,7.699319e-01,7.375880e-01,6.557053e-01,7.766918e-01
4.13828,7.697372e-01,7.629099e-01,7.300039e-01,6.473880e-01,7.698072e-01
4.28407,7.626729e-01,7.557106e-01,7.222534e-01,6.389586e-01,7.627444e-01
4.43501,7.554281e-01,7.483320e-01,7.143359e-01,6.304199e-01,7.555010e-01
4.59126,7.480006e-01,7.407723e-01,7.062515e-01,6.217746e-01,7.480748e-01
4.75302,7.403883e-01,7.330299e-01,6.980002e-01,6.130261e-01,7.404639e-01
4.92048,7.325894e-01,7.251032e-01,6.895823e-01,6.041776e-01,7.326664e-01
5.09384,7.246024e-01,7.169911e-01,6.809986e-01,5.952328e-01,7.246807e-01
5.2733,7.164257e-01,7.086925e-01,6.722499e-01,5.861954e-01,7.165053e-01
5.45909,7.080581e-01,7.002067e-01,6.633375e-01,5.770694e-01,7.081390e-01
5.65142,6.994988e-01,6.915330e-01,6.542629e-01,5.678592e-01,6.995809e-01
5.85053,6.907469e-01,6.826714e-01,6.450280e-01,5.585690e-01,6.908302e-01
6.05666,6.818020e-01,6.736217e-01,6.356349e-01,5.492035e-01,6.818865e-01
6.27004,6.726641e-01,6.643846e-01,6.260863e-01,5.397676e-01,6.727496e-01
6.49095,6.633332e-01,6.549605e-01,6.163851e-01,5.302663e-01,6.634198e-01
6.71964,6.538100e-01,6.453507e-01,6.065345e-01,5.207048e-01,6.538975e-01
6.95638,6.440954e-01,6.355566e-01,5.965382e-01,5.110885e-01,6.441838e-01
7.20147,6.341906e-01,6.255800e-01,5.864004e-01,5.014230e-01,6.342798e-01
7.45519,6.240973e-01,6.154232e-01,5.761254e-01,4.917139e-01,6.241872e-01
7.71785,6.138176e-01,6.050890e-01,5.657182e-01,4.819673e-01,6.139082e-01
7.98976,6.033542e-01,5.945805e-01,5.551840e-01,4.721891e-01,6.034454e-01
8.27125,5.927101e-01,5.839014e-01,5.445286e-01,4.623855e-01,5.928017e-01
8.56266,5.818889e-01,5.730558e-01,5.337581e-01,4.525629e-01,5.819808e-01
8.86434,5.708945e-01,5.620484e-01,5.228791e-01,4.427277e-01,5.709866e-01
9.17665,5.597317e-01,5.508844e-01,5.118985e-01,4.328863e-01,5.598239e-01
9.49996,5.484056e-01,5.395695e-01,5.008239e-01,4.230455e-01,5.484977e-01
9.83466,5.369219e-01,5.281101e-01,4.896630e-01,4.132119e-01,5.370139e-01
10.1812,5.252870e-01,5.165131e-01,4.784240e-01,4.033923e-01,5.253787e-01
10.5399,5.135077e-01,5.047859e-01,4.671156e-01,3.935935e-01,5.135990e-01
10.9112,5.015918e-01,4.929366e-01,4.557469e-01,3.838224e-01,5.016825e-01
11.2956,4.895474e-01,4.809738e-01,4.443273e-01,3.740857e-01,4.896373e-01
11.6936,4.773834e-01,4.689070e-01,4.328665e-01,3.643904e-01,4.774724e-01
12.1056,4.651093e-01,4.567458e-01,4.213748e-01,3.547433e-01,4.651971e-01
12.5321,4.527351e-01,4.445009e-01,4.098624e-01,3.451512e-01,4.528218e-01
12.9736,4.402719e-01,4.321833e-01,3.983403e-01,3.356210e-01,4.403571e-01
13.4307,4.277310e-01,4.198046e-01,3.868195e-01,3.261593e-01,4.278146e-01
13.9039,4.151247e-01,4.073772e-01,3.753112e-01,3.167727e-01,4.152065e-01
14.3937,4.024656e-01,3.949139e-01,3.638269e-01,3.074678e-01,4.025454e-01
14.9008,3.897672e-01,3.824280e-01,3.523783e-01,2.982510e-01,3.898448e-01
15.4258,3.770435e-01,3.699334e-01,3.409774e-01,2.891287e-01,3.771188e-01
15.9693,3.643090e-01,3.574444e-01,3.296360e-01,2.801069e-01,3.643819e-01
16.5319,3.515790e-01,3.449758e-01,3.183661e-01,2.711916e-01,3.516492e-01
17.1144,3.388691e-01,3.325428e-01,3.071798e-01,2.623887e-01,3.389364e-01
17.7173,3.261955e-01,3.201610e-01,2.960892e-01,2.537038e-01,3.262597e-01
18.3415,3.135746e-01,3.078463e-01,2.851063e-01,2.451424e-01,3.136357e-01
18.9878,3.010234e-01,2.956147e-01,2.742428e-01,2.367095e-01,3.010812e-01
19.6567,2.885593e-01,2.834826e-01,2.635107e-01,2.284103e-01,2.886136e-01
20.3493,2.761996e-01,2.714664e-01,2.529213e-01,2.202495e-01,2.762503e-01
21.0662,2.639621e-01,2.595827e-01,2.424859e-01,2.122314e-01,2.640091e-01
21.8084,2.518646e-01,2.478478e-01,2.322157e-01,2.043605e-01,2.519077e-01
22.5768,2.399248e-01,2.362782e-01,2.221212e-01,1.966405e-01,2.399640e-01
23.3722,2.281606e-01,2.248900e-01,2.122126e-01,1.890753e-01,2.281958e-01
24.1956,2.165894e-01,2.136991e-01,2.024999e-01,1.816680e-01,2.166205e-01
25.0481,2.052286e-01,2.027213e-01,1.929923e-01,1.744220e-01,2.052557e-01
25.9306,1.940952e-01,1.919714e-01,1.836986e-01,1.673399e-01,1.941181e-01
26.8441,1.832056e-01,1.814643e-01,1.746273e-01,1.604242e-01,1.832244e-01
27.7899,1.725758e-01,1.712137e-01,1.657858e-01,1.536771e-01,1.725905e-01
28.769,1.622210e-01,1.612329e-01,1.571812e-01,1.471004e-01,1.622317e-01
29.7826,1.521557e-01,1.515345e-01,1.488200e-01,1.406958e-01,1.521624e-01
30.8319,1.423935e-01,1.421299e-01,1.407077e-01,1.344644e-01,1.423963e-01
31.9181,1.329468e-01,1.330296e-01,1.328493e-01,1.284072e-01,1.329459e-01
33.0427,1.238273e-01,1.242432e-01,1.252490e-01,1.225249e-01,1.238227e-01
34.2068,1.150452e-01,1.157792e-01,1.179102e-01,1.168177e-01,1.150372e-01
35.412,1.066096e-01,1.076446e-01,1.108357e-01,1.112856e-01,1.065982e-01
36.6596,9.852798e-02,9.984545e-02,1.040274e-01,1.059285e-01,9.851349e-02
37.9512,9.080670e-02,9.238641e-02,9.748640e-02,1.007456e-01,9.078932e-02
39.2883,8.345046e-02,8.527082e-02,9.121306e-02,9.573635e-02,8.343043e-02
40.6725,7.646246e-02,7.850065e-02,8.520700e-02,9.089944e-02,7.644002e-02
42.1054,6.984432e-02,7.207651e-02,7.946710e-02,8.623357e-02,6.981974e-02
43.5889,6.359606e-02,6.599764e-02,7.399147e-02,8.173709e-02,6.356961e-02
45.1246,5.771609e-02,6.026189e-02,6.877755e-02,7.740816e-02,5.768805e-02
46.7144,5.220126e-02,5.486581e-02,6.382206e-02,7.324466e-02,5.217191e-02
48.3603,4.704681e-02,4.980461e-02,5.912110e-02,6.924428e-02,4.701644e-02
50.0641,4.224649e-02,4.507225e-02,5.467014e-02,6.540449e-02,4.221539e-02
51.8279,3.779257e-02,4.066150e-02,5.046407e-02,6.172259e-02,3.776101e-02
53.6539,3.367595e-02,3.656400e-02,4.649723e-02,5.819566e-02,3.364421e-02
55.5442,2.988623e-02,3.277035e-02,4.276348e-02,5.482064e-02,2.985457e-02
57.5012,2.641182e-02,2.927018e-02,3.925623e-02,5.159431e-02,2.638048e-02
59.527,2.324006e-02,2.605229e-02,3.596849e-02,4.851330e-02,2.320928e-02
