task,substrate,readout,forgetting,seed_idx,n_units,t_total,runtime_s,w_norm,pre_steady_acc,pre_stability_std,post_swap_acc,adapt_time_pulses,mean_acc_all,nmse_final30
drift_binary,random_graph_k25,rls,0.999,1,256,40000,68.62235045433044,332.5572047532233,1.0,0.0,1.0,212.0,0.9544216225722971,
mackey_glass,parallel,offridge,nan,6,256,21000,1.355764389038086,nan,,,,,,0.30526565476353923
mackey_glass,parallel,offridge,nan,7,256,21000,1.3895163536071777,nan,,,,,,0.3110963442108226
mackey_glass,parallel,offridge,nan,8,256,21000,1.408078908920288,nan,,,,,,0.30778698482905886
mackey_glass,parallel,offridge,nan,9,256,21000,1.3896369934082031,nan,,,,,,0.3085599588774509
narma10,random_graph_k25,rls,0.999,8,256,21000,33.431023359298706,nan,,,,,,nan
narma10,random_graph_k25,rls,0.999,9,256,21000,40.565306186676025,nan,,,,,,nan
drift_binary,random_graph_k25,rls,0.999,8,256,40000,85.75923991203308,81.12671294789605,1.0,0.0,1.0,209.0,0.9769851260018593,
drift_binary,random_graph_k25,rls,0.999,9,256,40000,99.7591609954834,342.6596739538801,1.0,0.0,1.0,386.0,0.9396733750408282,
drift_binary,parallel,rls,0.999,4,256,40000,68.24149298667908,506.24633914894264,0.985,0.003978379066906524,0.97,1362.0,0.9813463229567096,
drift_binary,parallel,rls,0.999,5,256,40000,121.3347008228302,463.6419091752126,0.985,0.0029342801502242446,0.97,382.0,0.9825823471772065,
drift_binary,parallel,rls,0.999,6,256,40000,94.53520464897156,342.3386007006001,0.985,0.0038532453853861977,0.98,242.0,0.9823314740835658,
drift_binary,parallel,rls,0.999,7,256,40000,99.36551094055176,384.7637652681968,0.99,0.0032752862470324666,0.97,224.0,0.9811122836109646,
narma10,random_graph_k25,rls,0.999,4,256,21000,38.41728758811951,nan,,,,,,nan
narma10,random_graph_k25,rls,0.999,5,256,21000,64.84536099433899,1.6809475435438734,,,,,,0.4155524314267694
drift_binary,parallel,rls,0.999,8,256,40000,88.90754914283752,475.1750011287001,0.99,0.0033656351555092865,0.98,983.0,0.9822381347202332,
drift_binary,parallel,rls,0.999,9,256,40000,110.32096242904663,624.9219796549887,0.99,0.005140768425050874,0.97,541.0,0.9818264616466924,
mackey_glass,random_graph_k25,offridge,nan,0,256,21000,3.734440565109253,nan,,,,,,0.01635007693994746
mackey_glass,random_graph_k25,offridge,nan,1,256,21000,3.3949012756347656,nan,,,,,,0.013829152158568786
mackey_glass,random_graph_k25,offridge,nan,2,256,21000,3.8788559436798096,nan,,,,,,0.012331358088293573
mackey_glass,random_graph_k25,offridge,nan,3,256,21000,3.5858066082000732,nan,,,,,,0.014877379250048497
mackey_glass,random_graph_k25,offridge,nan,4,256,21000,3.3789732456207275,nan,,,,,,0.012963181448155132
mackey_glass,random_graph_k25,offridge,nan,5,256,21000,3.5321178436279297,nan,,,,,,0.013565420994383652
narma10,random_graph_k25,rls,0.999,6,256,21000,45.62632656097412,1.681145945619042,,,,,,0.41036009805901086
narma10,random_graph_k25,rls,0.999,7,256,21000,59.95260167121887,nan,,,,,,nan
mackey_glass,random_graph_k25,offridge,nan,6,256,21000,3.5821943283081055,nan,,,,,,0.013152934307406702
mackey_glass,random_graph_k25,offridge,nan,7,256,21000,3.753554344177246,nan,,,,,,0.013970720209793994
mackey_glass,parallel,rls,0.999,0,256,21000,37.11325979232788,1480.8703512169238,,,,,,0.09155363092015617
mackey_glass,parallel,rls,0.999,1,256,21000,31.47797441482544,1185.6768304656764,,,,,,0.08905583891421813
mackey_glass,random_graph_k25,offridge,nan,8,256,21000,3.741239309310913,nan,,,,,,0.013104462631532714
mackey_glass,random_graph_k25,offridge,nan,9,256,21000,3.378833055496216,nan,,,,,,0.01188817048939777
