task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,corrupt_acc,steady_final_acc,n_flips,v_final
drift_binary,random_graph_k25,passive_truth,6,256,40000,6.1352410316467285,0.9204846611894173,0.93,0.945,0.945,0.95,1,nan
drift_binary,random_graph_k25,passive_truth,7,256,40000,3.755619764328003,0.9193143388357078,0.93,0.95,0.93,0.93,1,nan
drift_binary,random_graph_k25,passive_truth,8,256,40000,5.72968864440918,0.9187187507851562,0.94,0.93,0.945,0.93,1,nan
drift_binary,random_graph_k25,passive_truth,9,256,40000,3.63944935798645,0.9184416220697973,0.95,0.925,0.93,0.945,1,nan
drift_binary,random_graph_k25,passive_corrupt,0,256,40000,5.741330146789551,0.7009031180121104,0.95,0.95,0.055,0.945,3,nan
drift_binary,random_graph_k25,passive_corrupt,1,256,40000,3.4715497493743896,0.7018910328886208,0.945,0.95,0.07,0.945,3,nan
drift_binary,random_graph_k25,passive_corrupt,2,256,40000,4.045181035995483,0.702228335971458,0.935,0.95,0.07,0.935,3,nan
drift_binary,random_graph_k25,passive_corrupt,3,256,40000,2.6062822341918945,0.701329112333861,0.94,0.93,0.07,0.945,3,nan
drift_binary,random_graph_k25,passive_corrupt,8,256,40000,3.9708189964294434,0.698372528328434,0.94,0.93,0.055,0.93,3,nan
drift_binary,random_graph_k25,passive_corrupt,9,256,40000,2.3848233222961426,0.6993516494560439,0.95,0.925,0.07,0.945,3,nan
drift_binary,random_graph_k25,passive_corrupt,4,256,40000,4.080315113067627,0.7014068741991407,0.93,0.945,0.055,0.95,3,nan
drift_binary,random_graph_k25,passive_corrupt,5,256,40000,2.5030500888824463,0.7002879324640083,0.93,0.945,0.07,0.95,3,nan
drift_binary,random_graph_k25,passive_corrupt,6,256,40000,4.121746778488159,0.7003896887012889,0.93,0.945,0.055,0.95,3,nan
drift_binary,random_graph_k25,passive_corrupt,7,256,40000,2.4381282329559326,0.6997218662847667,0.93,0.95,0.07,0.93,3,nan
