config_name,kappa,r_fit,r_phys,med_eff_us,cv_eff,stretch,sse
lateral_ring,20.0,0.9878876915335464,0.9898267835419984,1487.083584517337,2.9999999999999996,8.546457382283545,0.07156990053005939
lateral_ring,25.0,0.8334396315292418,0.9365542813068285,5000.000000000002,2.146622262010091,28.735632183908056,0.19566915414731653
lateral_ring,30.0,0.7689183726058842,0.9052255345424745,5000.000000000002,1.6942439794977684,28.735632183908056,0.18784268990525396
lateral_ring,50.0,0.6570850554467085,0.8020938459422395,5000.000000000002,1.7456172601008075,28.735632183908056,0.29405864759079553
lateral_ring,100.0,0.6254803347116448,0.7707257840564199,5000.000000000002,1.8278779624400272,28.735632183908056,0.35073344190070277
parallel,0.0,0.9796711273230664,0.970683583260371,1158.805251870289,3.0000000000000004,6.65980029810511,1.4006293450096199
random_graph,0.1,0.9811342017582239,0.9712379122301718,1159.5536013250046,3.0000000000000004,6.664101157040256,1.3267954439373357
random_graph,0.3,0.982938401681161,0.9716811200835812,1157.18519736087,2.9999999999999996,6.650489640005,1.1926828297334497
random_graph,1.0,0.983225418538305,0.969541100217687,1108.9296919101432,2.9999999999999996,6.373159148908869,0.7902690902803345
random_graph,3.0,0.9814356386249129,0.9731213402531418,915.5378244150864,2.9999999999999996,5.261711634569462,0.2797700293761277
random_graph,10.0,0.9739542478620691,0.9680660136243573,734.0765564365319,3.0000000000000004,4.2188307841179995,0.49887977974462444
random_graph,15.0,0.9592278428883456,0.9592946842897543,771.0346462141655,2.9999999999999996,4.4312335989319855,0.8363485849467281
random_graph,20.0,0.8649372343068517,0.9262891064977843,3687.464542776174,2.9999999999999996,21.19232495848376,0.3671870252536275
random_graph,25.0,0.9352626685468073,0.9854699066815572,5000.000000000002,2.2594386487608142,28.735632183908056,0.08678861207159427
random_graph,30.0,0.9012674519112094,0.982228158376168,5000.000000000002,1.642119676981771,28.735632183908056,0.08657049038687177
random_graph,50.0,0.7279586404292397,0.8603607283257347,5000.000000000002,1.8326707209032245,28.735632183908056,0.27153079465621793
random_graph,100.0,0.6193110178604392,0.7604589577403222,5000.000000000002,1.8912361333947911,28.735632183908056,0.36752547049663375
ring_bidir,0.1,0.9814694902697443,0.9718864739823618,1164.7057177437657,2.9999999999999996,6.693711021515895,1.3311814814497676
ring_bidir,0.3,0.9854462496127342,0.9762435253287625,1182.6418604269686,3.0000000000000004,6.796792301304417,1.2286395152735605
ring_bidir,1.0,0.992070102267229,0.9866325068871156,1249.4568300297885,2.9999999999999996,7.180786379481543,1.0045893781362791
ring_bidir,3.0,0.9905665791808397,0.9850930469638111,1253.4288320173998,2.9999999999999996,7.203613977111494,0.592631084619974
ring_bidir,10.0,0.9419846238121423,0.9402077549044253,1272.2797194529326,3.0000000000000004,7.311952410649038,0.42350967115322985
ring_bidir,15.0,0.8630874168386167,0.9237916693650834,3492.3185967393006,2.9999999999999996,20.070796532984488,0.4077276025225135
ring_bidir,20.0,0.9145955348551393,0.9618910318155389,3879.690312655938,2.9999999999999996,22.29707076239045,0.24093984116050757
ring_bidir,25.0,0.9095274122227048,0.9584481618277784,5000.000000000002,2.392925191824747,28.735632183908056,0.15220181664569415
ring_bidir,30.0,0.9010674126560186,0.969613663201858,5000.000000000002,2.0406569279555695,28.735632183908056,0.11202617181588494
