arm,seed,lr_scale,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_readout,n_params_gate,n_params_host,runtime_s
X-SelSSM-frozen,9.0,1.0,selsmm_frozen,softmax_sgd,9.188246207837874,0.0,0.0,0.0,11.355335054340655,13.076225217480344,0.0,21.426861592912953,nan,nan,8224.0,0.0,24864.0,66.12078380584717
X-SelSSM-frozen,0,4.0,selsmm_frozen,softmax_sgd,9.080216222473728,0.0,0.0,0.0,10.364145982124032,12.471925971097123,0.0,21.849103662996963,nan,nan,8224,0,24864,117.39852023124695
X-SelSSM-frozen,1,4.0,selsmm_frozen,softmax_sgd,8.543620983596478,0.0,0.0,0.0,9.828224853928806,11.522867110706555,0.0,23.218158866148205,nan,nan,8224,0,24864,123.99997019767761
X-SelSSM-frozen,2,4.0,selsmm_frozen,softmax_sgd,9.288880028864734,0.0,0.0,0.0,9.952784678482299,11.070561710970239,0.0,17.36113005284146,nan,nan,8224,0,24864,127.55905413627625
X-SelSSM-frozen,3,4.0,selsmm_frozen,softmax_sgd,9.018530522204355,0.0,0.0,0.0,10.927655261502341,13.116176771325618,0.0,21.00873376747328,nan,nan,8224,0,24864,130.31788182258606
X-SelSSM-frozen,4,4.0,selsmm_frozen,softmax_sgd,8.997954206063206,0.0,0.0,0.0,10.017653155102797,10.952966329120288,0.0,21.30993530959658,nan,nan,8224,0,24864,129.68065929412842
X-SelSSM-frozen,5,4.0,selsmm_frozen,softmax_sgd,8.97634857039377,0.0,0.0,0.0,10.854381786915518,11.872206780976759,0.0,20.29413555637048,nan,nan,8224,0,24864,116.99159836769104
X-SelSSM-frozen,6,4.0,selsmm_frozen,softmax_sgd,8.963412839370745,0.0,0.0,0.0,9.975989803164028,11.803880031223036,0.0,21.675665820743045,nan,nan,8224,0,24864,77.56475138664246
X-SelSSM-frozen,7,4.0,selsmm_frozen,softmax_sgd,9.197422122038251,0.0,0.0,0.0,9.530889943946187,10.9740141502884,0.0,21.065157342983554,nan,nan,8224,0,24864,77.6443259716034
X-SelSSM-frozen,8,4.0,selsmm_frozen,softmax_sgd,9.042084035796337,0.0,0.0,0.0,10.969149615409314,10.643826701117042,0.0,20.689353482132912,nan,nan,8224,0,24864,72.74477767944336
X-SelSSM-frozen,9,4.0,selsmm_frozen,softmax_sgd,9.188246207837874,0.0,0.0,0.0,11.355335054340655,13.076225217480344,0.0,21.426861592912953,nan,nan,8224,0,24864,70.25227904319763
X-SelSSM-full,0.0,1.0,selsmm_full,softmax_sgd,11.506163293944603,0.0,0.0003333518528807156,0.0,95.65144389918494,146.41304204347492,0.0,26.153498203666278,nan,nan,8224.0,0.0,24864.0,175.35488653182983
X-SelSSM-full,1.0,1.0,selsmm_full,softmax_sgd,10.672335403411934,0.0,5.555864214678593e-05,0.0,81.43897214025519,101.780591145824,0.0,28.259618654162075,nan,nan,8224.0,0.0,24864.0,169.0518500804901
X-SelSSM-full,2.0,1.0,selsmm_full,softmax_sgd,9.845455349126949,0.0,0.00022223456858714373,0.0,79.52664205866935,117.02564824674914,0.0,25.83670332555145,nan,nan,8224.0,0.0,24864.0,165.2731261253357
X-SelSSM-full,3.0,1.0,selsmm_full,softmax_sgd,10.072888589652493,0.0,0.0,0.0,139.0566936219759,139.96536075770555,0.0,26.49560111044083,nan,nan,8224.0,0.0,24864.0,165.45011067390442
X-SelSSM-full,4.0,1.0,selsmm_full,softmax_sgd,9.388528923930824,0.0,0.0,0.0,140.32876177578777,157.43387480216413,0.0,25.97124148425988,nan,nan,8224.0,0.0,24864.0,157.8641390800476
X-SelSSM-full,5.0,1.0,selsmm_full,softmax_sgd,10.614278639533989,0.0,0.0002777932107339297,0.0,123.56726116211874,131.04508400179503,0.0,25.745008564827796,nan,nan,8224.0,0.0,24864.0,162.29028224945068
X-SelSSM-full,6.0,1.0,selsmm_full,softmax_sgd,10.328153815149653,0.0,0.0,0.0,105.01035112779701,129.47410629376702,0.0,29.503498995465936,nan,nan,8224.0,0.0,24864.0,147.51874256134033
X-SelSSM-full,7.0,1.0,selsmm_full,softmax_sgd,9.265510852923038,0.0,0.0,0.0,116.26233861882852,122.45819593797545,0.0,26.693861502830043,nan,nan,8224.0,0.0,24864.0,149.58680415153503
X-SelSSM-full,8.0,1.0,selsmm_full,softmax_sgd,10.621076266482826,0.0,0.0,0.0,149.95567975903288,183.1124291553393,0.0,26.143191849410826,nan,nan,8224.0,0.0,24864.0,143.11495184898376
X-SelSSM-full,9.0,1.0,selsmm_full,softmax_sgd,9.59389677529858,0.0,5.555864214678593e-05,0.0,121.57669352350824,103.7088790520513,0.0,29.56479606357367,nan,nan,8224.0,0.0,24864.0,148.58718466758728
