task,env,k_pulses,kappa,n_units,seed_idx,t_total,runtime_s,rls_mean,rls_steady,probe
kernel_capacity,2Dcircle,20,10.0,256,1,40000,5.083113431930542,0.6181113539860806,0.74,0.9566666666666667
kernel_capacity,2Dcircle,20,10.0,256,2,40000,5.288204908370972,0.6274553403180825,0.795,0.95
kernel_capacity,2Dcircle,20,10.0,256,3,40000,5.531750440597534,0.6233159970855003,0.74,0.9316666666666666
kernel_capacity,2Dcircle,20,10.0,256,4,40000,4.807124853134155,0.5941973819753273,0.68,0.9583333333333334
kernel_capacity,2Dcircle,20,10.0,256,5,40000,6.2710161209106445,0.6286638526670184,0.735,0.94
kernel_capacity,2Dcircle,20,10.0,256,6,40000,6.990739345550537,0.622887615889048,0.7,0.9316666666666666
kernel_capacity,2Dcircle,20,10.0,256,7,40000,5.720516920089722,0.6460315067460617,0.7,0.915
kernel_capacity,2Dcircle,20,15.0,256,0,40000,6.643840074539185,0.6851762518529685,0.8,0.95
kernel_capacity,2Dcircle,20,15.0,256,1,40000,4.885209083557129,0.7290181151227355,0.8,0.9533333333333334
kernel_capacity,2Dcircle,20,10.0,256,8,40000,7.850335359573364,0.6383646139544233,0.7875000000000001,0.9283333333333333
kernel_capacity,2Dcircle,20,10.0,256,9,40000,4.915460586547852,0.6451244943594382,0.8,0.9366666666666666
kernel_capacity,4Dshell,24,25.0,512,6,48000,15.031002521514893,0.5607518671157508,0.52,0.51
kernel_capacity,4Dshell,24,25.0,512,7,48000,14.047866344451904,0.5519867785192778,0.64,0.5883333333333334
kernel_capacity,4Dshell,24,25.0,512,0,48000,16.24345088005066,0.5751222777766155,0.62,0.5883333333333334
kernel_capacity,4Dshell,24,25.0,512,1,48000,18.693012714385986,0.5437902972741157,0.6,0.5316666666666666
kernel_capacity,4Dshell,24,25.0,512,4,48000,17.998668432235718,0.55763310390996,0.6,0.5416666666666666
kernel_capacity,4Dshell,24,25.0,512,5,48000,16.034043312072754,0.5586594422710821,0.6,0.5633333333333334
kernel_capacity,2Dcircle,20,15.0,256,2,40000,5.080717086791992,0.6786864651641918,0.8,0.9383333333333334
kernel_capacity,2Dcircle,20,15.0,256,3,40000,5.746823787689209,0.708690736413658,0.8,0.9433333333333334
kernel_capacity,4Dshell,24,25.0,512,2,48000,18.42406463623047,0.5704119160687015,0.65,0.6066666666666667
kernel_capacity,4Dshell,24,25.0,512,3,48000,17.517290115356445,0.5563825024581076,0.6,0.5733333333333334
kernel_capacity,4Dshell,24,25.0,512,8,48000,17.518176555633545,0.5519005878538106,0.64,0.5733333333333334
kernel_capacity,4Dshell,24,25.0,512,9,48000,18.40079665184021,0.5450789732432376,0.6,0.5833333333333334
kernel_capacity,2Dcircle,20,15.0,256,6,40000,5.4902565479278564,0.719269616341298,0.8,0.92
kernel_capacity,2Dcircle,20,15.0,256,7,40000,5.772446393966675,0.6556053867993267,0.725,0.9283333333333333
kernel_capacity,2Dcircle,20,15.0,256,4,40000,5.40423059463501,0.6412049948493757,0.75,0.945
kernel_capacity,2Dcircle,20,15.0,256,5,40000,7.0659568309783936,0.6374839828145021,0.8,0.9516666666666667
kernel_capacity,2Dcircle,20,15.0,256,8,40000,6.58174204826355,0.7049961056254868,0.82,0.9233333333333333
kernel_capacity,2Dcircle,20,15.0,256,9,40000,5.466737508773804,0.6615059923117509,0.8,0.9533333333333334
kernel_capacity,2Dcircle,20,20.0,256,0,40000,6.005925416946411,0.7527888746513907,0.75,0.8116666666666666
